bn:00000004n	शून्य जीरो 0 शून्य_समारोह
bn:00000133n	८ आठ 8 decatur_से_eighter eighter octad octonary viii अष्टक
bn:00000138n	९ नौवाँ 0 9 नौ ix niner कैरोलिना_से_नीना नौ_का_संग्रह
bn:00000141n	कर्विमान आंग्स्ट्रॉम angstrom angstroms अंगस्ट्राम_इकाई ए ऐंग्स्ट्रॉम
bn:00000193n	कला_स्नातक बैचलर_ऑफ_आर्ट artium_baccalaurens artium_baccalaureus b.a ए.बी कला_की_डिग्री_के_स्नातक बी.ए बी.ए_की_डिग्री बी.ए_डिग्री बी_ए बीए_ऑनर्स
bn:00000213n	परित्याग बिना_छुट्टी_के_अनुपस्थित भगोड़ों
bn:00000234n	
bn:00000237n	मठाधीश abbots archmandrite महंत
bn:00000249n	उदर abdominals पेट पेट_की_मांसपेशियों मानव_पेट
bn:00000266n	kidnaper अपहरणकर्ता
bn:00000288n	भ्रंश विगति विचलन
bn:00000300n	अनुपालन
bn:00000317n	क्षमता योग्यता योग्यत्व
bn:00000318n	क्षमता
bn:00000330n	ablate पृथक बाहर_काटने
bn:00000350n	विहित_बाधा
bn:00000351n	ऑस्ट्रेलियाई_आदिवासी ऑस्ट्रेलियाई_आदिवासियों abo आदिवासी_ऑस्ट्रेलियाई देशी_ऑस्ट्रेलियाई
bn:00000355n	घर निवास
bn:00000356n	घर गृह जन्मभूमि आवास आवासगृह जगह निजी_निवास
bn:00000360n	उन्मूलनवादी उन्मूलनवाद उद्धारवादी
bn:00000372n	गर्भपात गर्भपात_का_इतिहास abortionist
bn:00000397n	अरस्तु_का_विरेचन_सिद्धांत विरेचन_सिद्धांत विरेचन भावविरेचन रेचन
bn:00000418n	विद्रधि फोड़ा फोड़े
bn:00000427n	अनुपस्थिति अभाव
bn:00000428n	अभाव
bn:00000440n	परमनिरपेक्ष पूर्ण
bn:00000443n	आवृत्ति पूर्ण_आवृत्ति
bn:00000475n	
bn:00000488n	ठोस वैचारिक_वस्तु सार_वस्तुओं
bn:00000489n	सारांश अमूर्त सार सारलेख
bn:00000497n	
bn:00000503n	abstrusity
bn:00000554n	डिग्री उपाधि शैक्षणिक_डिग्री अकादमिक_डिग्री
bn:00000562n	विद्यालय_की_अवधी शैक्षणिक_वर्ष शैक्षिक_वर्ष स्कूल_वर्ष
bn:00000567n	
bn:00000568n	अकादमी विश्वविद्यालय अकादमियों मानद_समाज
bn:00000628n	
bn:00000629n	speedup
bn:00000633n	उपरोधी_वाल्व कुचलना_वाल्व गला_घोंटना गला_घोंटना_शरीर त्वरक
bn:00000638n	भाषण_पैटर्न
bn:00000639n	जोर
bn:00000640n	उपभाषा बोली लहजा उच्चारण क्षेत्रीय_उच्चारण उपभाषाएँ उपभाषाओं लहजों regiolect उपबोली बोलियों
bn:00000641n	आघात लहजा तनाव निर्बल_शब्दांश निर्बल_स्वर स्ट्रेस्ड_शब्दांश
bn:00000662n	
bn:00000663n	
bn:00000677n	accouterment साजसामान
bn:00000678n	
bn:00000690n	दुर्घटना दुर्घटनाओं
bn:00000694n	चोट घाव_चोट चोटों दुर्घटना_में_चोट
bn:00000703n	चढ़ान
bn:00000704n	accolade सम्मान (समादर_का_प्रतीक)_आलिंगन
bn:00000706n	
bn:00000717n	बैकअप_बैंड संगत संगीत_संगत समर्थन_बैंड
bn:00000722n	अपराध_में_साझी अभिषंगी जुर्म_में_साथी सहापराधी सहकारी
bn:00000724n	उपलब्धि
bn:00000725n	कौशल महारत योग्यता कुशलता निपुणता उपार्जन
bn:00000726n	समझौते
bn:00000727n	अनुसार
bn:00000728n	सन्धि अंतरराष्ट्रीय_संधि संधि संधियों समझौता
bn:00000738n	इतिवृत्त chroniclers इतिहास खाते
bn:00000739n	प्रशंसात्मक_विवरण_या_विज्ञापन समाचार_रिपोर्ट
bn:00000741n	विवरण
bn:00000745n	
bn:00000748n	खाता_बही खाता बही खाता-बही लेखा_पुस्तक बही_-_खाता
bn:00000753n	लेखाकार नियंत्रक एकाउंटेंट मुनीम सार्वजनिक_लेखा
bn:00000755n	
bn:00000766n	
bn:00000772n	accruement प्रोद्भवन
bn:00000774n	उत्संस्करण उत्संस्करित enculturation
bn:00000775n	संस्कृति
bn:00000777n	एकत्रीकरण संग्रह
bn:00000779n	
bn:00000782n	सच सचाई सटीकता सटीक
bn:00000784n	accusal
bn:00000789n	इक्का
bn:00000790n	सुपरस्टार प्रवीण सितारा सुपरसितारा स्टार maven निपुण hotshot mavin जानकार सनसनाहट
bn:00000798n	हुकुम_का_इक्का
bn:00000819n	एसर_saccharum चीनी_मेपल चीनी_maple रॉक_मेपल
bn:00000825n	कटुता
bn:00000843n	एसीटोन शुक्ता 2-प्रोपेनोन propanone डाइमिथाइल_ketone
bn:00000845n	ketosis acetonemia ketonemia
bn:00000870n	succeeder उपलब्धियां
bn:00000937n	मान्यता
bn:00000939n	अदालत_में_तलब_करना प्रशंसा_पत्र प्रशस्ति_पत्र
bn:00000942n	
bn:00000943n	नोडल_बिंदु
bn:00000951n	अनुचर acolytes
bn:00000990n	conversance conversancy
bn:00000993n	
bn:00000998n	पलटा_हासिल_कर_ली वातानुकूलित_पलटा वातानुकूलित_प्रतिक्रिया सशर्त_पलटा सशर्त_प्रतिक्रिया सशर्त_प्रपिवर्त
bn:00001005n	उपार्जन प्राप्ति अधिग्रहण
bn:00001014n	एकड़ acreage
bn:00001019n	एकड़_जमीन भू_-_सम्पदा भूस्वामी मालिकपन संपत्ति संपत्ति_घर सामंती_डोमेन
bn:00001035n	acrobatic कलाबाजी ढह_पड़ना
bn:00001076n	अधिनियम कार्य
bn:00001077n	praxeology अधिनियम मानव_कार्रवाई मानव_गतिविधि
bn:00001078n	अधिनियम
bn:00001079n	
bn:00001127n	कार्रवाई
bn:00001128n	कार्रवाई गतिविधि
bn:00001129n	सैन्य_कार्रवाई कार्रवाई
bn:00001130n	कार्रवाई प्राकृतिक_क्रिया प्राकृतिक_प्रक्रिया
bn:00001133n	कार्रवाई कार्रवाई_तंत्र
bn:00001153n	सक्रियण_ऊर्जा सक्रियण_की_ऊर्जा
bn:00001155n	सक्रिय सक्रिय_एजेंट
bn:00001172n	गतिविधि
bn:00001173n	गतिविधि शरीर_की_प्रक्रिया शारीरिक_प्रक्रिया शारीरिक_समारोह
bn:00001176n	अभिनेता फिल्म_अभिनेता अभिनेत्री अमेरिकी_अभिनेता_है अमेरिकी_अभिनेत्री खिलाड़ी_है टेलीविजन_अभिनेता फिल्म_अभिनेत्री मंच_अभिनेत्री रंगमंच_अभिनेता
bn:00001181n	अभिनेत्री
bn:00001187n	यथार्थी_-_करण
bn:00001227n	विज्ञापन इश्तहार एलान इश्तेहार विज्ञापन_माध्यम advertizement advertizing प्रिंट_विज्ञापन विज्ञापन_मीडिया विज्ञापनदाताओं विज्ञापनों विज्ञापित
bn:00001236n	लोकोक्ति कहावत मारवाडी_कहावतेँ
bn:00001242n	एडम आदम adam
bn:00001276n	
bn:00001279n	परिशिष्ट उपसंहार
bn:00001293n	अलावा
bn:00001294n	बढ़ाई लाभ वृद्धि
bn:00001302n	कंप्यूटर_पता पता संदर्भ
bn:00001304n	भाषण
bn:00001339n	ग्रंथ्यर्बुद adenomas
bn:00001355n	
bn:00001362n	शिष्य अनुयायी शिष्यत्व
bn:00001382n	adios arrivederci auf_wiedersehen goodby sayonara अच्छा_दिन अच्छे अलविदा इतने_लंबे_समय_के नमस्कार नमस्ते राम_-_राम विदाई विदाकालीन
bn:00001395n	
bn:00001396n	विशेषण विशेषण_और_उसके_भेद बिशेषण गुणवाचक_विशेषण फार्म विधेय_विशेषण
bn:00001402n	
bn:00001410n	
bn:00001423n	प्रशासन आधिकारिक_धर्म राज्य_चर्च राज्य_धर्म शासी_निकाय संगठन
bn:00001438n	admirability admirableness wonderfulness
bn:00001453n	
bn:00001454n	आश्चर्य wonderment प्रशंसा
bn:00001456n	
bn:00001460n	प्रवेश
bn:00001466n	मिश्रण मेल_-_जोल
bn:00001469n	चेतावनी सलाह_के_शब्द
bn:00001478n	किशोरावस्था किशोर किशोर_उम्र किशोरों
bn:00001480n	किशोर किशोरों गबरू
bn:00001482n	एडोल्फ_हिटलर एडोल्फ़_हिटलर हिटलर अडोल्फ_हिटलर अडोल्फ़_हिटलर ऐडॉल्फ़_हिटलर अडॉल्फ़_हिटलर डेर_fuhrer
bn:00001488n	adonis
bn:00001507n	कॉर्टिकोस्टेरॉइड corticosteroid एड्रीनल_कॉर्टेक्स_का_एक_स्टैरॉयड_हार्मोन corticoids corticoids_है corticosteroids अधिवृक्क_स्टेरॉयड_cortical
bn:00001525n	वयस्क वयस्कों
bn:00001526n	
bn:00001530n	महिला औरत स्त्री नारी लडकी स्त्रियाँ स्त्रियां स्री महिलाओं वयस्क_महिला
bn:00001533n	पुरुष आदमी मर्द male पुरूष पुरुषों यौन_परिपक्व यौन_परिपक्वता वयस्क_नर
bn:00001541n	अनूढ़ागामी व्यभिचारी
bn:00001544n	परिपक्वता
bn:00001548n	प्रगति
bn:00001549n	
bn:00001551n	प्रगति उन्नति आगे_की_गति आगे_गति
bn:00001557n	प्रगति उन्नति तरक़्क़ी
bn:00001559n	लाभ
bn:00001566n	parousia ईसा_का_प्रत्यागमन दूसरा_आ_रहा_है दूसरा_मसीह_के_आ_रहा_है
bn:00001572n	साहसिक_कार्य खतरनाक_उपक्रम जोखिम_भरा_उद्यम साहसिक साहसी
bn:00001575n	अन्वेषक अन्वेषण अभियानों खोजकर्ता
bn:00001579n	
bn:00001582n	opposer विरोधी
bn:00001586n	मुश्किल_दस्तक_देता_है
bn:00001589n	के_प्रचार विज्ञापन
bn:00001592n	सलाह
bn:00001595n	औचित्य
bn:00001598n	सलाहकार परामर्शदाता
bn:00001604n	अधिवक्ता वकील अभिभाषक बैरिस्टर वकालत वकालतनामा अधिवक्ताओं परामर्शदाता_पर_कानून प्लीडर मंत्री मंत्री_परामर्शदाता राजनयिक_रैंक विशेष_दूत
bn:00001617n	ईजियन_सागर एजियन_सागर एजियाई_सागर ईजियन ईजियन_समुद्र एजियन
bn:00001657n	वातन
bn:00001659n	जलवाहक
bn:00001660n	आगे_पारित_करने_के_लिए
bn:00001661n	एन्टेना ऐन्टेना एंटीना एंटेना हवाई_संचारण
bn:00001697n	हवाई_जहाज विमान वायु-यान हवाई_जहाज़
bn:00001698n	प्रश्लिष एयरोसोल एयरोसौल्ज़
bn:00001713n	esthesia संवेदना
bn:00001714n	aesthesis esthesis ज्ञान_प्रभाव भावना_अनुभव भावना_गृहीत सनसनी
bn:00001716n	esthetic सौंदर्य सौंदर्यशास्र_-_संबंधी सौंदर्यात्मक
bn:00001734n	बात
bn:00001735n	affaire चक्कर प्रणयलीला विवाहेतर_चक्कर
bn:00001736n	सामाजिक_अवसर सामाजिक_समारोह
bn:00001737n	द्वंद्वयुद्ध द्वन्द्वयुद्ध affaire_d'honneur dueling duels
bn:00001738n	निजी_व्यवसाय व्यक्तिगत_मामलों
bn:00001744n	स्नेह दिल कल्ब क़ल्ब प्रेम वात्सल्य philia
bn:00001768n	अभिकथन
bn:00001785n	समृद्धि
bn:00001790n	दंगा
bn:00001793n	संत्रास आतंक ऊधम
bn:00001816n	अफ़्रीका अफ्रीका कालद्वीप अंधेरा_महाद्वीप अफ़्रीक़ा अफ़्रीकी अफ्रीका_महाद्वीप
bn:00001873n	
bn:00001874n	consequence
bn:00001875n	दोपहर
bn:00001887n	चाँदी रूप्यम् ag चांदी चाँदी_का_रासायनिक_प्रतीक देशी_चांदी परमाणु_संख्या_47
bn:00001936n	उम्र उम्र_बढ़ने दीर्घायु वृद्ध
bn:00001937n	उम्र ऐतिहासिक_काल
bn:00001938n	उम्र
bn:00001939n	मा मा_है लंबे_समय
bn:00001940n	वृद्धावस्था बुढ़ापा geezerhood पुराने_वयस्कों_है
bn:00001961n	कार्यालय प्राधिकार दफ़्तर एजेंसी अधिकार आधिकारिक कार्यालय_परिसर कार्यालय_भवनों कार्यालयों संघीय_एजेंसी सरकारी_एजेंसियों सरकारी_एजेंसी
bn:00001962n	
bn:00001965n	
bn:00001967n	कार्यसूची
bn:00001972n	एजेंट
bn:00001973n	agent
bn:00001974n	
bn:00001975n	दलाल कारक दलालों मुख्य_कारक
bn:00001992n	एकत्रीकरण ढेर
bn:00001993n	
bn:00001996n	गतिविधि_agglutinating
bn:00001997n	समूहन
bn:00002000n	agglutinin
bn:00002008n	कुल
bn:00002013n	एग्रीगेटर कलेक्टर
bn:00002016n	
bn:00002019n	
bn:00002032n	कोलाहल
bn:00002059n	संशयवाद संदेहवाद skeptics अविश्वास उलझन संदेह
bn:00002072n	
bn:00002086n	समझौते
bn:00002087n	समझौते
bn:00002088n	व्यवस्था
bn:00002096n	कृषि खेती कृषिकर्म खेती-बाड़ी किसानों कृषक कृषि_उद्योग खाद्य_फसल
bn:00002110n	agrobacterium_tumefaciens एग्रोबैक्टीरियम_tumefaciens
bn:00002132n	अवोकाडो मक्खनफल रुचिरा avocado aguacate avocado_नाशपाती avocados persea_अमेरिकाना मगरमच्छ_नाशपाती
bn:00002154n	सहायता
bn:00002155n	मदद सहायता इमदाद उपकार
bn:00002157n	ध्यान सेवा_-_शुश्रूषा
bn:00002159n	सहायक
bn:00002171n	बीमारी बीमार
bn:00002178n	आशय प्राथमिक_उद्देश्य इरादा उद्देश्य जानबूझकर
bn:00002179n	निशाना लक्ष्य हदफ हदफ़ उद्देश्य
bn:00002180n	
bn:00002185n	हवा heterosphere पृथ्वी_के_वातावरण पृथ्वी_के_वायुमंडल
bn:00002186n	
bn:00002188n	कोमल_हवा
bn:00002189n	पृथ्वी_का_वायुमण्डल वायुमण्डल पृथ्वी_का_वायुमंडल वायुमंडल वायुमंडल_की_परतें हवा वातावरण
bn:00002191n	धुन तराना राग लय melodic melodic_लाइन melodic_वाक्यांश
bn:00002195n	हवाई_हमला_आश्रय एंडरसन_आश्रय बम_आश्रयों बम_शरण बमबारी_से_सुरक्षित_स्थान हवाई_हमला_आश्रयों
bn:00002209n	alveoli दंतकोटर वायुकोशिका वायुकोशीय हवा_की_थैलियों_के_है हवा_थैली
bn:00002216n	पवन हवा winds हवा_के_मौजूदा हवा_झोंका हवा_वर्तमान हवाओं
bn:00002267n	हवा_लहर
bn:00002275n	वायुयान वायुयानों हवाई_जहाज़ हवाई_जहाज़ों फ्लाइंग_मशीन फ्लाइंग_मशीन_था भारी_से_भी_हवा विमान
bn:00002276n	वायुयान_वाहक_पोत विमान_वाहक_पोत विमान_वाहक_जहाज़ हमले_के_विमान_वाहक विमान_-_वाहक_पोत विमान_वाहक
bn:00002295n	संवातन
bn:00002306n	aviatrix उड़ाके पायलट सैन्य_पायलट हवाई_जहाज_पायलट
bn:00002315n	हवाई_पट्टी अवतरण_-_पट्टी उड़ान_पट्टी लैंडिंग_पट्टी
bn:00002320n	पार्श्ववीथी
bn:00002335n	अलास्का alaska एके लास्ट_फ्रंटियर
bn:00002356n	अलाबामा अलबामा alabama कमीलया_राज्य डिक्सी_के_हार्ट
bn:00002410n	अलार्म आतंक
bn:00002490n	एल्ब्यूमिन श्विति अल्ब्यूमिन एल्ब्यूमेन albumin अन्नसार
bn:00002544n	alderman aldermen aldermen_के_बोर्ड alderwoman एल्डरमैन_संबंधी पौर_-_मुख्य
bn:00002589n	
bn:00002671n	शैवाल सिवार सेवार शैवालों alga algal filamentous_शैवाल
bn:00002714n	ऐलिबाय álibi बहाना
bn:00002726n	अजनबी
bn:00002741n	
bn:00002744n	alikeness समानता
bn:00002745n	अंत्र आंत आंतों आंत्र_पथ गैस्ट्रो_आंत्र गैस्ट्रो_आंत्र_पथ जठरांत्र पाचन_अंगों पुष्टिकर_पदार्थ पोषण पोषण_विज्ञान पौष्टिक भोजन मानव_जठरांत्र_संबंधी_मार्ग
bn:00002749n	खिला
bn:00002761n	जीवन उमर ज़िंदगी जान जी जीना जीव जीवित प्राण लाइफ लाइफ़ हयात
bn:00002766n	मजीठ_कैरमाइन मजीठ_क्रिमसन मजीठ_लाल
bn:00002773n	nomia_melanderi क्षार_मधुमक्खी
bn:00002793n	alkylbenzenesulfonate
bn:00002814n	alleghany_बेर allegheny_बेर prunus_alleghaniensis
bn:00002829n	allegro_चोर_spirito
bn:00002848n	प्रशमन राहत
bn:00002855n	हैलोवीन halloween hallowe'en हेलोवीन allhallows_ईव सभी_पवित्र_ईव
bn:00002869n	
bn:00002870n	मगरमच्छ alligator घड़ियाल मगर गैटर
bn:00002910n	आवंटन
bn:00002911n	apportioning malapportionment अंशल तक़सीम प्रभाजन बँटवारा
bn:00002955n	
bn:00002956n	
bn:00002966n	देवताओं_की_बहुलता देवत्व परमेश्वर_सर्वशक्तिमान प्रभु सर्वशक्तिमान
bn:00003002n	हवाई हवाई_द्वीपों हावाई aloha_राज्य hawai'i
bn:00003005n	
bn:00003111n	alt ऊंचाई क्षैतिज_समन्वय_प्रणाली
bn:00003125n	परिवर्तन
bn:00003132n	विकल्प वैकल्पिक
bn:00003142n	ऊँचाई समुद्र_तट_से_ऊंचाई geopotential_ऊंचाई उच्च_ऊंचाई ऊंचाई
bn:00003158n	परहितवाद पर्यायवाद परोपकार परोपकारिता परोपकार_के_सिद्धन्त परोपकारी
bn:00003164n	पूर्व_छात्र छात्रा alumn alumnae भूतपूर्व_छात्र
bn:00003195n	एम॰ए॰ एम._ए. artium_magister magister_artium एम.ए एम_ए एमए_की_डिग्री एमए_डिग्री मजिस्टर_artium
bn:00003200n	दासी नौकरानी नौकरानियों
bn:00003203n	विलय समामेलन एकीकरण
bn:00003232n	शौकिया
bn:00003242n	विस्मय
bn:00003251n	राजदूत दूत राजनयिक_दूत राजदूतों राजनियक_दूत embassador सांस्कृतिक_राजदूत
bn:00003263n	वातावरण
bn:00003268n	गुंजाइश परिधि रेंज
bn:00003281n	padri चबूतरा pulpit अम्बोन के_मंडप मंच व्यासपीठ
bn:00003286n	beebread अमृत
bn:00003300n	घात ambushes चुपके_हमले छिपकर_आक्रमण प्रतीक्षा_में_झूठ_बोल_रही_है
bn:00003328n	आमीन_कोने
bn:00003330n	में_संशोधन_वापसी
bn:00003337n	कैटकिन catkins लड़ी
bn:00003341n	संयुक्त_राज्य_अमेरिका अमेरिका अमरीका संयुक्त_राज्य_अमरीका संयुक्त_राष्ट्र_अमरीका अमरीकी_संयुक्त_राष्ट्र संयुक्त_राज्य_अमरिका यू_एस_ए संयुक्त_राज्य यू_एस यू०_एस० यू०_एस०_ए० united_states usa अमरीका_के_प्रान्त अमेरीका यूएसए यूनाइटेड_स्टेटस्‌_ऑफ_अमेरिका यूनाइटेड_स्टेट्स_ऑफ़_अमेरिका संयुक्त_राज्य_अमरीका_के_प्रान्त संयुक्त_राज्य_अमेरीका सन्युक्त_राज्य_अमरीका सन्युक्त_राज्य_अमेरिका सयुंक्त_राज्य_अमरीका राज्य_अमेरिका
bn:00003343n	अमेरिकी
bn:00003344n	अंग्रेज़ी अमेरिकी_अंग्रेजी अंग्रेजी अमेरिकी_भाषा
bn:00003365n	वॉशिंगटन_डी॰_सी॰ वॉशिंगटन,_डी॰_सी॰ वॉशिंगटन वाशिंगटन_डी.सी. वाशिंगटन,डी.सी. वाशिंगटन_डी_सी वांशिगटन_डी.सी वाशिंगटन,_डी.सी. वाशिंगटन_डीसी वाशिंगटन_डी॰_सी॰ वाशिंग्टन वाशिंग्टन_डी.सी वाशिंग्टन_डी_सी वाॅशिंग्टन_डी॰सी॰ वॉशिंगटन_डी_सी वॉशिंग्टन अमेरिकी_पूंजी वाशिंगटन संयुक्त_राज्य_अमेरिका_की_राजधानी
bn:00003418n	इंडियन रेड_इंडियन अमेरिकी_इंडियंस मूल_अमेरिकी_आदिवासियों मूल_अमेरिकी_आदिवासी रेड_एण्डियन अमेरिकी_अदिवासी यूएसए_के_आदिवासी अमेरिंडीयन्स अमेरिका_के_स्वदेशी_लोगों उत्तरी_अमेरिका_के_स्वदेशी_लोगों भारतीय
bn:00003461n	अमेरिकी_क्रान्ति अमेरिकी_क्रन्तिकारी_युद्ध अमेरिकी_क्रांति अमेरिकी_क्रांतिकारी_युद्ध अमरीकी_क्रान्ति अमेरिकन_क्रांति अमेरिका_की_क्रान्ति अमेरिकन_वार_ऑफ_इंडिपेंडेंस अमेरिकी_स्वतंत्रता_के_युद्ध
bn:00003496n	
bn:00003504n	नीलमी_अजगर
bn:00003511n	खुशमिजाजी चिड़चिड़ापन_न_होना
bn:00003529n	aminomethane methylamine
bn:00003537n	सौहार्द
bn:00003543n	गोला-बारूद गोला_बारूद बारूद लड़ाई_के_सामान
bn:00003601n	पैसे_की_राशि राशि
bn:00003602n	राशि
bn:00003603n	मात्रा परिमाण राशि
bn:00003604n	राशि कुल
bn:00003667n	आयाम आयामों
bn:00003736n	misdating mistiming
bn:00003742n	एनाकोंडा eunectes_murinus murinus हरी_एनाकोंडा
bn:00003753n	संज्ञाहरण anesthetized अनेस्थिसियोलॉजी
bn:00003783n	अनुरूप_अभिकलित्र एनालॉग_कम्प्यूटर एनालॉग_संगणक एनालॉग_कंप्यूटर अनुरूप_कंप्यूटर
bn:00003786n	सादृश्य
bn:00003793n	विश्लेषण
bn:00003794n	विश्लेषण विश्लेषणात्मक_सोच
bn:00003795n	विश्लेषण
bn:00003801n	विश्लेषक
bn:00003806n	विश्लेषणात्मक_क्यूबिज्म
bn:00003810n	
bn:00003864n	जोड़ सम्मिलन anastomoses anastomosing दो_भागों_का_आपस_में_मिलाना
bn:00003879n	जटिल_शरीर_के_अंग शरीर_की_संरचना शारीरिक_संरचना
bn:00003882n	मानव_शरीर मानव_कार्यिकी बनावट देह bod आंकड़ा त्वचा_pigmentation भौतिक_शरीर मांस मानव_शरीर_रचना_विज्ञान मानव_शरीर_विज्ञान
bn:00003893n	आनुवंशिक_विरासत आनुवंशिकता रक्त_लाइन वंशानुगत
bn:00003896n	
bn:00003978n	andrena andrenid खनन_मधुमक्खी
bn:00004021n	उपाख्यान
bn:00004063n	देवदूत फ़रिश्ता देवता फरिश्ता मलक फ़रिश्ते स्वर्गदूत परी स्वर्गदूतों
bn:00004065n	सरपरस्त
bn:00004085n	
bn:00004117n	कोण तलीय_कोण कोणीय_माप तीव्र_कोण
bn:00004139n	अंगरेज़ी
bn:00004141n	ऐंग्लिकन_समुदाय चर्च_ऑफ़_इंग्लैंड इंग्लैंड_का_गिरिजाघर आंग्लिकाई_ऐक्य इंग्लैंड_का_कलीसिया church_of_england चर्च_ऑफ_इंग्लैंड अंग्रेज़ी_गिर्जा आंगलिकाई_कलीसिया आंग्लिकाइ_संप्रदाय आंग्लिकाई_कलीसिया इंग्लैंड_की_कलीसिया एंग्लिकन_ऐक्य एंग्लिकन_कलीसिया एंग्लिकन_चर्च एंग्लिकन_संप्रदाय एंग्लिकन_सम्प्रदाय ऐंग्लिकन_कलीसिया ऐग्लिकन_कॉमयूनियन अंगरेज़ी_ऐक्य अंगरेज़ी_चर्च इंग्लैंड_के_चर्च ई_के_सी
bn:00004147n	एंग्लो_अमेरिकन
bn:00004148n	उच्च_anglicanism एंग्लो_-_रोमन_कैथोलिक_ईसाई
bn:00004157n	anglophilia
bn:00004175n	गुस्से
bn:00004188n	कष्ट पीड़ा यातना
bn:00004221n	निन्दा
bn:00004222n	प्राणी पशु animal जंतु जंतु_जगत जंतुओं जानवर जानवरों पशुओं प्राणियों epifauna epifaunal infauna macrofauna जा_रहा_है_चेतन मेटाजोअन
bn:00004273n	दुश्मनी बैर मनमुटाव
bn:00004274n	anion आयनों ऋणायन
bn:00004293n	टखना गुल्फ टखने_संयुक्त गुल्फसंधि_है टखने संधि_talocruralis
bn:00004336n	
bn:00004352n	घोषणा घोषणाओं
bn:00004353n	
bn:00004356n	
bn:00004357n	
bn:00004388n	धनाग्र एनोड anode anodes anodic
bn:00004451n	उत्तर जवाब प्रतिक्रिया
bn:00004452n	जवाब परिणाम समाधान
bn:00004453n	जवाब
bn:00004493n	फ़ोयर लॉबी गलियारा डेवढ़ी ड्योढ़ी प्रवेश_हॉल बरोठा हॉल
bn:00004498n	ऐंटीलोप एंटिलोप एंटीलोप एन्टिलोप एन्टीलोप ऐंटिलोप ऐंटीलोपों ऐन्टिलोप ऐन्टीलोप मृग हिरण
bn:00004527n	भजन स्तोत्र hymnwriter ईसाई_भजन भजन_रचयिता भजनानंदी भजनी
bn:00004545n	anthesis खिल पुष्पन फूल
bn:00004584n	नृविज्ञान मानवविज्ञान मानवशास्त्र नृतत्व_विज्ञान मानव_विज्ञान मानवविज्ञानी नृतत्वविज्ञान मानव-शास्त्र एंथ्रोपोलॉजी
bn:00004600n	विरोधी_कैथोलिक_मत
bn:00004611n	यहूदी_विरोधी
bn:00004612n	यहूदी_विरोधवाद यहूदी-विरोध सेमेटिक antisemite यहूदी_विरोधी विरोधी_सामी सेमेटिक_विरोधी सेमेटिक_विरोधी_भावना
bn:00004629n	प्रतिपिंड एंटीबॉडी immunoglobin immunoglobulins चर_डोमेन प्रतिरक्षी
bn:00004638n	
bn:00004665n	प्रतिजन एंटीबॉडी_जनरेटर एंटीबॉडी प्रतिरक्षी प्रतिजनी प्रतिजनों
bn:00004710n	अरुचि
bn:00004734n	antiredeposition
bn:00004742n	सीरमरोधी antisera
bn:00004753n	antitrust_मामले
bn:00004785n	विलोम विपर्याय वैपरीत्य विपरीत विपरीत_शब्द
bn:00004798n	निहाई हार्डी_छेद हार्डी_छेद_है
bn:00004801n	चिंता परेशानी
bn:00004836n	अपार्टमेंट फ़्लैट अपार्टमेंट_इमारतों अपार्टमेंट_परिसर उद्यान_अपार्टमेंट फ्लैटों_के_ब्लॉक हवेली_ब्लॉक
bn:00004847n	कपि वानर कपियों hominoids
