bn:00000004n	صفر 0
bn:00000939n	حوالہ حوالہ_جات
bn:00000942n	
bn:00000943n	
bn:00000951n	
bn:00000990n	
bn:00000993n	
bn:00000998n	
bn:00001005n	
bn:00001014n	ایکڑ acre ايكڑ
bn:00001019n	ملکیت
bn:00001035n	
bn:00001076n	
bn:00001077n	
bn:00001078n	
bn:00001079n	
bn:00001127n	فعل
bn:00001128n	
bn:00001129n	
bn:00001130n	
bn:00001133n	
bn:00001153n	
bn:00001155n	
bn:00001172n	
bn:00001173n	
bn:00001176n	اداکار اداکاران اداکارہ ادا_کار اداكار اداكاران اداكارہ فلم_اداکار فلمی_اداکار
bn:00001181n	
bn:00001187n	
bn:00001227n	اشتہارات advertisment اشتہار_بازی‎ اِشْتِہار‎ اِعْلان‎ اشتہار
bn:00001236n	ضرب_المثل ضرب‌المثل ضرب_المثل‎ کہاوت‎
bn:00001242n	آدم آدم‎ adam
bn:00001276n	
bn:00001279n	
bn:00001293n	
bn:00001294n	بڑھاْی‎
bn:00001302n	
bn:00001304n	
bn:00001339n	غدومہ adenoma adenomatosis adenomatous ایڈینوما ایڈینومیٹوسس ايڈينوما ايڈينوميٹوسس
bn:00001355n	
bn:00001362n	
bn:00001382n	الوداع‎
bn:00001395n	
bn:00001396n	اسم_صفت بشیشن صفت بشیشن‎ صفت‎
bn:00001402n	
bn:00001410n	
bn:00001423n	
bn:00001438n	
bn:00001453n	
bn:00001454n	عجوبہ
bn:00001456n	
bn:00001460n	
bn:00001466n	
bn:00001469n	
bn:00001478n	عنفوان_شباب نوجوانی
bn:00001480n	
bn:00001482n	ہٹلر اڈولف_ہٹلر ايڈولف_ہٹلر ایڈولف_ہٹلر
bn:00001488n	adonis
bn:00001507n	
bn:00001525n	بلوغ بالغ
bn:00001526n	
bn:00001530n	عورت خاتون ستری عورتوں عورتيں عورتیں
bn:00001533n	مرد آدمي آدمی ادمي ادمی مردوں
bn:00001541n	
bn:00001544n	
bn:00001548n	
bn:00001549n	
bn:00001551n	
bn:00001557n	تَرَقّی‎
bn:00001559n	
bn:00001566n	آمد_ثانی ظہور_دوم
bn:00001572n	مہم_جوئی اڈونچر
bn:00001575n	
bn:00001579n	
bn:00001582n	
bn:00001586n	
bn:00001589n	
bn:00001592n	
bn:00001595n	
bn:00001598n	مشیر صلاح_کار‎
bn:00001604n	وکیل وكيل
bn:00001617n	بحیرہ_ایجیئن بحیرہ_ایجین بحیرۂ_ایجیئن بحيرهٔ_ايجيئن بحيرہ_ايجيئن بحيرہ_ايجين بحيرۂ_ايجيئن بحیرهٔ_ایجیئن
bn:00001657n	
bn:00001659n	
bn:00001660n	
bn:00001661n	محاس اینیٹنا
bn:00001697n	طیارہ ہوائی_جہاز ہوائی_پیما ہوائی_جہاز‎ ہوائی_پیما‎ aeroplane airplane ائيروپلين ائيرپلين ائیروپلین ائیرپلین طيارہ طيارے طیارے پلين پلین
bn:00001698n	
bn:00001713n	
bn:00001714n	
bn:00001716n	
bn:00001734n	
bn:00001735n	
bn:00001736n	
bn:00001737n	
bn:00001738n	
bn:00001744n	شفقت
bn:00001768n	
bn:00001785n	
bn:00001790n	
bn:00001793n	گھبراہٹ
bn:00001816n	افریقا افريقا افریقہ اَفْرِیقا‎‎ اَفْرِیقَہ‎ افریقی_براعظم افريقہ براعظم_افريقہ براعظم_افریقہ
bn:00001873n	
bn:00001874n	consequence
bn:00001875n	سہ_پہر afternoon سهٔ_پہر
bn:00001887n	چاندی ag argentum element_47 silver چاندي
bn:00001936n	
bn:00001937n	
bn:00001938n	
bn:00001939n	
bn:00001940n	پیرانہ_سالی بڑھاپا
bn:00001961n	سرکاری_تنظیم دفتر آفس
bn:00001962n	
bn:00001965n	
bn:00001967n	
bn:00001972n	
bn:00001973n	agent
bn:00001974n	
bn:00001975n	
bn:00001992n	
bn:00001993n	
bn:00001996n	
bn:00001997n	
bn:00002000n	
bn:00002008n	
bn:00002013n	
bn:00002016n	
bn:00002019n	
bn:00002032n	
bn:00002059n	ارتیابیت تشکیک ارتيابيت تشكيك
bn:00002072n	
bn:00002086n	
bn:00002087n	
bn:00002088n	
bn:00002096n	زراعت زِرَاعَت‎ کاشْت_کاری‎ ذراعت كاشتكاري كھيتي_باڑي کاشت_کاری کاشتکاری کھیتی_باڑی
bn:00002110n	agrobacterium_tumefaciens
bn:00002132n	مگر_ناشپاتی‎
bn:00002154n	
bn:00002155n	مدد امداد‎ مدد‎
bn:00002157n	
bn:00002159n	
bn:00002171n	
bn:00002178n	ارادہ
bn:00002179n	نِشانَہ‎ ہَدَف‎
bn:00002180n	
bn:00002185n	
bn:00002186n	
bn:00002188n	
bn:00002189n	زمینی_کرۂ_ہوا
bn:00002191n	آہنگ‎ ترانہ‎ دھن‎ راگ‎
bn:00002195n	
bn:00002209n	
bn:00002216n	باد پون ہوا
bn:00002267n	
bn:00002275n	ہوائی_جہاز طیارہ جہاز‎ طیارہ‎ ہوا_پیما‎ ہوائی_جہاز‎ air_craft aircraft ايئركرافٹ ایئرکرافٹ ہوائي_جہاز ہوائين ہوائيوں ہوائيہ ہوائین ہوائیوں ہوائیہ
bn:00002276n	طیارہ_بردار_بحری_جہاز طيارهٔ_بردار_بحري_جہاز طيارہ_بردار_بحري_جہاز طیارهٔ_بردار_بحری_جہاز
bn:00002295n	
bn:00002306n	ہواباز پائلٹ aviator pilot طیارین طیار طيار طيارين
bn:00002315n	
bn:00002320n	
bn:00002335n	الاسکا alaska الاسكا الاسكہ الاسکہ
bn:00002356n	الاباما alabama الاباما_كا_پرچم الاباما_کا_پرچم الابامہ رياست_الاباما ریاست_الاباما
bn:00002410n	
bn:00002490n	
bn:00002544n	
bn:00002589n	چوکسی
bn:00002671n	طحالب کائی
bn:00002714n	álibi
bn:00002726n	
bn:00002741n	
bn:00002744n	
bn:00002745n	
bn:00002749n	
bn:00002761n	آرْبَل‎ جِیوَن‎ حَیات‎ زِنْدَگی‎
bn:00002766n	
bn:00002773n	nomia_melanderi
bn:00002793n	
bn:00002814n	prunus_alleghaniensis
bn:00002829n	
bn:00002848n	
bn:00002855n	ہالووین ہالووین‎ halloween ہالووين
bn:00002869n	
bn:00002870n	ایلیگیٹر شیر_آبی‎ مگر‎ گھڑیال‎ ايليگيٹر
bn:00002910n	
bn:00002911n	
bn:00002955n	
bn:00002956n	
bn:00002966n	
bn:00003002n	ہوائی جزائر_ہوائي ہوائي
bn:00003005n	
bn:00003111n	
bn:00003125n	
bn:00003132n	
bn:00003142n	بلندی بلندي
bn:00003158n	بے_لوثی
bn:00003164n	فاضل
bn:00003195n	ماسٹر_آف_آرٹس ایم_اے_اے
bn:00003200n	نوکرانی‎
bn:00003203n	
bn:00003232n	
bn:00003242n	
bn:00003251n	سفیر سفیر‎ وزیر‎
bn:00003263n	
bn:00003268n	
bn:00003281n	
bn:00003286n	
bn:00003300n	
bn:00003328n	
bn:00003330n	
bn:00003337n	
bn:00003341n	ریاستہائے_متحدہ_امریکا ریاستہائے_متحدہ_امریکہ ریاستہائے_متحدہ ریاست_ہائے_متحدہ اَمْرِیکا‎‎ اَمْرِیکہ‎ رِیاسَت_ہائے_مُتَّحِدَہ‎ رِیاسَتْہائے_مُتَّحِدَۂ_اَمْرِیکہ‎ ریاست_ہائے_متحدہ_امریکا یو_ایس_اے امر_(wikipedia_article)یکہ امريكا امريكي امريكہ امريکہ امریکا امریکہ امریکی رياساتِ_متحدہ_امريكہ رياساتِ_متحدہ_رياستہائے_متحدہ رياست_متحدہ رياست_ہائے_متحدہ_امريكہ رياست_ہائے_متحدہ_رياستہائے_متحدہ رياست_ہاۓ_متحدہ_امريكہ رياست_ہاۓ_متحدہ_رياستہائے_متحدہ رياستہائے_متحدهٔ_امريكا رياستہائے_متحدهٔ_امريكہ رياستہائے_متحدهٔ_رياستہائے_متحدہ رياستہائے_متحدہ رياستہائے_متحدہ_امريكا رياستہائے_متحدہ_امريكہ ریاساتِ_متحدہ_امریکہ ریاساتِ_متحدہ_ریاستہائے_متحدہ ریاست_متحدہ ریاست_ہائے_متحدہ_امریکہ ریاست_ہائے_متحدہ_ریاستہائے_متحدہ ریاست_ہاۓ_متحدہ_امریکہ ریاست_ہاۓ_متحدہ_ریاستہائے_متحدہ ریاستہائے_متحدهٔ_امریکا ریاستہائے_متحدهٔ_امریکہ ریاستہائے_متحدهٔ_ریاستہائے_متحدہ متحدہ_امريكہ متحدہ_امریکہ متحدہ_رياستہائے_متحدہ متحدہ_ریاستہائے_متحدہ
bn:00003343n	امریکی
bn:00003344n	امریکی_انگریزی انگريزي
bn:00003365n	واشنگٹن_ڈی_سی واشنگٹن،_ڈی_سی واشنگٹن_ڈی_سی‎ دی_ڈسٹرکٹ واشنگٹن واشنگٹن،_ڈسٹرکٹ_آف_کولمبیا ڈسٹرکٹ_آف_کولمبیا ڈی_سی واشنگٹن_ڈي_سي
bn:00003418n	سرخ_ہندی امریکہ_کے_اصل_باشندے ریڈ_انڈین امريكين_كي_وطني_اقوام امریکین_کی_وطنی_اقوام رياستہائے_متحدہ_كے_اصل_باشندے ریاستہائے_متحدہ_کے_اصل_باشندے
bn:00003461n	امریکی_جنگ_انقلاب امريكي_جنگ_انقلاب
bn:00003496n	
bn:00003504n	
bn:00003511n	
bn:00003529n	
bn:00003537n	
bn:00003543n	گولہ_بارود ammunition گولهٔ_بارود
bn:00003601n	
bn:00003602n	
bn:00003603n	مقدار
bn:00003604n	
bn:00003667n	حیطہ amplitude حيطهٔ حيطہ حیطهٔ
bn:00003736n	خلط_زمان
bn:00003742n	
bn:00003753n	تخدیر anesthesia anesthesiology خدر خَدَر تخدير
bn:00003783n	
bn:00003786n	
bn:00003793n	
bn:00003794n	تجزیہ‎ تحلیل‎
bn:00003795n	
bn:00003801n	
bn:00003806n	
bn:00003810n	
bn:00003864n	
bn:00003879n	
bn:00003882n	انسانی_جسم انساني_جسم
bn:00003893n	
bn:00003896n	
bn:00003978n	andrena
bn:00004021n	
bn:00004063n	فرشتہ فرشتہ‎ فرشتے angel ملائکہ ملائکۃ نوری_محلوق
bn:00004065n	
bn:00004085n	
bn:00004117n	زاویہ angle زاويہ زاويہ_جيوميٹري زاویہ_جیومیٹری
bn:00004139n	
bn:00004141n	کلیسیائے_انگلستان انگلیکان_کمیونین کلیسائے_انگلستان کلیسائے_انگلستان‎ چرچ_آف_انگلینڈ کلیساۓ_انگلستان كليسائے_انگلستان كليساۓ_انگلستان چرچ_آف_انگلينڈ چرچ_اف_انگلينڈ چرچ_اف_انگلینڈ
bn:00004147n	
bn:00004148n	
bn:00004157n	
bn:00004175n	امید_و_بیم
bn:00004188n	رنج
bn:00004221n	
bn:00004222n	جانور حیوان حیوانات جانوروں حيوان حيوانات حيواني حیوانی
bn:00004273n	
bn:00004274n	anion
bn:00004293n	
bn:00004336n	
bn:00004352n	
bn:00004353n	
bn:00004356n	
bn:00004357n	
bn:00004388n	مثبیرہ anode اینوڈ زبر_برقیرہ مثبت_برقیرہ
bn:00004451n	
bn:00004452n	
bn:00004453n	
bn:00004493n	پیش_کمرہ
bn:00004498n	
bn:00004527n	مناجات دعائيں دعائیں
bn:00004545n	
bn:00004584n	بشریات humanities بشريات هومنيٹيز هومنیٹیز هومينيٹيز هومینیٹیز ہيومنيٹيز ہيومينيٹيز ہیومنیٹیز ہیومینیٹیز
bn:00004600n	
bn:00004611n	
bn:00004612n	ضد_سامیت سام_دشمنی سام_دُشْمَنی‎ سام_مُخالِفَت‎ ضِدِ_سامِیَّت‎ یَہُود_دُشْمَنی‎ anti-semitism antisemitism ضد_ساميت
bn:00004629n	ضد antibodies antibody اينٹي_باڈي اینٹی_باڈی
bn:00004638n	
bn:00004665n	مستضد antigen immunogen immunogenecity immunogenic اميونو_جينك اميونو_جينيسٹي اميونوجن امیونو_جینک امیونو_جینیسٹی امیونوجن مستضدات مستمنع
bn:00004710n	
bn:00004734n	
bn:00004742n	
bn:00004753n	
bn:00004785n	متضاد_الفاظ
bn:00004798n	اہرن
bn:00004801n	چںتا‎
bn:00004836n	فلیٹ اپارٹمنٹ‎ فلیٹ‎ اپارٹمنٹ
bn:00004847n	
bn:00004906n	شہد_مکھی apis_mellifera honey_bee شہد_کی_مکھی شہد_کی_مکھیاں
bn:00004989n	ٹرائے_اونس troy_ounce
bn:00004992n	ماہرِ_دوا_سازی
bn:00004993n	دوا_سازی فارمیسی ادویہ_سازی دواسازي
bn:00005004n	
bn:00005007n	
bn:00005017n	
bn:00005019n	
bn:00005021n	
bn:00005023n	
bn:00005024n	
bn:00005043n	
bn:00005053n	
bn:00005076n	
bn:00005088n	کَل gadget كَل
bn:00005091n	
bn:00005092n	
bn:00005093n	
bn:00005094n	
bn:00005106n	انجینئر engineer انجینیئر انجینیر انجينيئر انجينير مہندس
bn:00005109n	
bn:00005110n	
bn:00005111n	
bn:00005112n	
bn:00005119n	
bn:00005125n	
bn:00005126n	
bn:00005129n	
bn:00005133n	
bn:00005134n	سمجھ awareness فہم
bn:00005136n	گرفتاری
bn:00005137n	
bn:00005141n	
bn:00005142n	
bn:00005159n	
bn:00005160n	
bn:00005164n	تخمینہ
bn:00005169n	اپریل اپریل‎ april اپريل
bn:00005180n	
bn:00005200n	فِیروزَہ‎
bn:00005242n	آرگون ar argón لاعملین
bn:00005348n	pérgola
bn:00005361n	
bn:00005362n	
bn:00005380n	درجہ درجہ‎ ڈگری‎
bn:00005399n	صدر_اسقف آرچ_اسقف آرچ_بشپ صدر_بشپ
bn:00005433n	
bn:00005435n	معمار نمونہ_ساز نقاش‎ ڈیزائنر‎ ڈیزائنر
bn:00005461n	آرکٹک آركٹك اركٹك ارکٹک منطقہ_باردہ_شمالی
bn:00005465n	دائرہ_قطب_شمالی آركٹك_سركل آرکٹک_سرکل اركٹك_سركل ارکٹک_سرکل دائرهٔ_قطب_شمالي دائرهٔ_قطب_شمالی دائرہ_قطب_شمال دائرہ_قطب_شمالي
bn:00005511n	
bn:00005513n	رقبہ
bn:00005514n	
bn:00005515n	
bn:00005516n	
bn:00005517n	
bn:00005524n	
bn:00005599n	متنازع
bn:00005600n	
bn:00005601n	
bn:00005605n	دلیل
bn:00005658n	
bn:00005674n	ارسطو
bn:00005676n	حساب حساب‎ arithmetic
bn:00005702n	بازو انسانی_بازو
bn:00005704n	اسلحہ اسلحہ‎ ہتھیار‎ weapon weapons اسلحات ہتھيار ہتھياروں ہتھیار ہتھیاروں
bn:00005706n	
bn:00005707n	آستین‎
bn:00005717n	
bn:00005721n	
bn:00005729n	آرام_کُرْسِی‎
bn:00005731n	
bn:00005732n	فوج افواج‎ مسلح_افواج‎ مسلح_افواج
bn:00005737n	
bn:00005768n	
bn:00005769n	
bn:00005778n	بکتر_بند_لڑاکا_ناقل دبابہ ٹینک armored_vehicle armoured_vehicle بکتر_بند بکتر_بند_جنگی_ناقل بکتر_بند_جنگی_گاڑی بکتر_بند_گاڑی بکتربند_جنگی_ناقلات بکتربند_جنگی_گاڑی بکتربند_لڑاکا_گاڑی بکتربند_گاڑی دبّابہ tank ٹينك
bn:00005787n	
bn:00005793n	
bn:00005803n	اُرْدُو‎ جَیش‎ سِپاہ‎ عَسْکَر‎ فَوج‎ لَشْکَر‎
bn:00005804n	
bn:00005813n	
bn:00005845n	
bn:00005851n	والٹیئر والٹيئر
bn:00005862n	انتظام‎
bn:00005863n	
bn:00005864n	
bn:00005869n	
bn:00005896n	
bn:00005913n	سرین سرين
bn:00005926n	
bn:00005928n	
bn:00005929n	گرافکس تخطیط gfx graphic graphical graphics graphy تَخطيط جی_ایف_ایکس مخطط مُخَطَّط مِخطاط گرافک گرافیکل تخطيط جي_ايف_ايكس گرافك گرافكس گرافيكل
bn:00005951n	
bn:00006042n	رئوی_شریان pulmonary_arteries pulmonary_artery رئوي_شريان
bn:00006121n	مقالہ لیکھ‎ مَقالَہ‎ تحريد تحرید
bn:00006122n	
bn:00006125n	لباس clothing garment لباسي لباسی پوشاك پوشاک
bn:00006128n	
bn:00006129n	فرنیچر فرنیچر‎
bn:00006139n	کہنی‎
bn:00006140n	گھٹنا
bn:00006143n	کلائی کلایٔ كلائي
bn:00006148n	
bn:00006155n	
bn:00006157n	ہنر_مند کاریگر‎
bn:00006169n	مصنوعی_سیارچہ مصنوعي_سيارچہ
bn:00006174n	
bn:00006175n	
bn:00006178n	
bn:00006182n	فن_کار آرٹسٹ artist فنكار فنكاران فنکاران
bn:00006188n	
bn:00006195n	انسانیات انسانيات
bn:00006248n	
bn:00006301n	سونار مقاحد sonar
bn:00006306n	
bn:00006329n	ایشیا ايشيا ايشياء ایشیاء برا_عظم_ايشيا برا_عظم_ایشیا براعظم_ايشيا براعظم_ايشياء براعظم_ایشیا براعظم_ایشیاء
bn:00006351n	
bn:00006382n	
bn:00006383n	
bn:00006384n	panorama
bn:00006386n	
bn:00006399n	
bn:00006461n	
bn:00006473n	
bn:00006479n	
bn:00006484n	
bn:00006496n	
bn:00006502n	
bn:00006506n	
bn:00006509n	
bn:00006513n	
bn:00006522n	
bn:00006523n	
bn:00006531n	
bn:00006532n	کامریڈ كامريڈ
bn:00006539n	آزادی_اجتماع اَنْجُمَنْ‎
bn:00006541n	
bn:00006554n	
bn:00006558n	مقدمہ
bn:00006559n	
bn:00006560n	
bn:00006565n	اعتماد عزت_نفس_اور_خوداعتمادی خود_اعتمادى عزت_نفس_اور_خوداعتمادي
bn:00006567n	
bn:00006682n	
bn:00006691n	
bn:00006717n	
bn:00006747n	کھلاڑی کهلڑی‎
bn:00006752n	
bn:00006759n	کھیل_کود كھيل_كود
bn:00006771n	اٹلانٹا اٹلانٹا،_جارجیا atlanta اٹلانٹا،_جارجيا
bn:00006773n	بحر_اوقیانوس بحر_اوقیانوس‎ بحر_ظلمات‎ اوقيانوس اوقیانوس بحر_اقيانوس بحر_اقیانوس بحر_اوقيانوس بحر_ظلمات بحراوقيانوس بحراوقیانوس
bn:00006803n	
bn:00006807n	کرۂ_ہوا کُرہ_ہَوائی‎ atmosféra air atmosphere كرہ_ہوا كرہء_ہوا كرۂ_ہوا كرۂ_ہوائي كرۂہوا کرہ_ہوا کرہء_ہوا کرۂ_ہوائی کرۂہوا ہوا ہوائي_كرہ ہوائی_کرہ
bn:00006808n	موسم مَوسَم‎ weather
bn:00006814n	جوہر atom ايٹم ایٹم جواہر جوہرات جوہروں جوہري جوہری
bn:00006815n	
bn:00006823n	آبساز آبگر ہائیڈروجن ہائیڈروجن‎ h element_1 آبزا ابزا ابساز ابگر ہائيدروجن ہائيڈروجن ہائڈروجن ہائیدروجن
bn:00006835n	صوداصر سوڈیم سوڈیم‎ na سوڈيم
bn:00006845n	فاسفورس شبتاب p element_15 phosphorus فاسفوري فاسفوری فسفور
bn:00006847n	کلورین کلورین‎ cl سبزانیہ كلورين
bn:00006848n	اُشنانصر پوٹاشیئم پوٹاشیم k potassium اشنانصر اشنانيم اشنانیم اُشنانيم اُشنانیم پوٹاشيم
bn:00006849n	ہیلیم شمصر ہیلیم‎ he هلئيم هلئیم هليئم هليم هلیئم هلیم ہيلئيم ہیلئم ہیلئیم
bn:00006850n	جمصر کیلشیم چورناتہ‎ ca كيلشيئم كيلشيم کیلشیئم
bn:00006854n	کرومیئم کرومیم‎ کرومیم
bn:00006856n	لوہا لوہا‎ fe iron
bn:00006859n	تانبا cu copper cuprum تانبہ كاپر كوپر کاپر
bn:00006883n	آیوڈین i iodine آيوڈين ايوڈين ایوڈین
bn:00006906n	tungsten ٹنگسٹن
bn:00006910n	پلاٹینیم پلاٹینم پلاٹینم‎ pt platinum پلاٹينم پلاٹينيم
bn:00006912n	آکسیجن آکسیجن‎ o آكسيجن اكسيجن اکسیجن
bn:00006913n	پارہ پارہ‎ mercury
bn:00006915n	سیسہ رصاص element_82 lead pb plumbum سيسہ ليڈ لیڈ
bn:00006921n	فلورین فلورین‎ flüor f سیلانیہ فلورين
bn:00006939n	
bn:00006944n	
bn:00006979n	
bn:00006992n	
bn:00006994n	
bn:00006995n	
bn:00006997n	
bn:00007002n	لڑاکا_طیارہ جنگی_طیارہ لڑاكا_طيارہ لڑاكا_طيارے لڑاکا_طیارے
bn:00007011n	
bn:00007013n	
bn:00007020n	
bn:00007021n	
bn:00007022n	
bn:00007046n	
bn:00007047n	
bn:00007048n	
bn:00007051n	وکیل قانون_دان وکیل‎
bn:00007063n	
bn:00007067n	
bn:00007073n	
bn:00007078n	مُسافِر_خانَہ‎ مِہْمان_خانَہ‎ مِہْمان_سَرا‎
bn:00007096n	حاضرین audience
bn:00007098n	
bn:00007101n	
bn:00007108n	
bn:00007134n	آواز‎
bn:00007140n	اگست august
bn:00007146n	کچھ_نہیں صفر 0
bn:00007182n	پھوپھی خالہ ماسی پھوپھي
bn:00007184n	aura
bn:00007189n	
bn:00007205n	صبح_صادق طلوع اشا‎ اشراق‎ تڑکا‎ سحر‎ سویرا‎ صبح‎ پربهات‎ طلوع_آفتاب طلوع_افتاب
bn:00007228n	آسٹریلیا آسْٹْریلِیا‎ دولت_مشترکہ_آسٹریلیا‎ آسٹريليا آسٹريليا_كي_دولت_مشتركہ آسٹریلیا_کی_دولت_مشترکہ اسٹريليا اسٹريليا_كي_دولت_مشتركہ اسٹریلیا اسٹریلیا_کی_دولت_مشترکہ دولت_مشتركہ_آسٹريليا دولت_مشتركہ_اسٹريليا دولت_مشترکہ_آسٹریلیا دولت_مشترکہ_اسٹریلیا
bn:00007286n	
bn:00007287n	مصنف لکھاری مصنفین تخلیق_کار مؤلف لكھاري مصنفين
bn:00007288n	
bn:00007293n	مقتدرہ authority
bn:00007299n	
bn:00007304n	
bn:00007306n	
bn:00007309n	خودمتحرک موٹر_کار کار گاڑی کار‎ گاڑی‎ automobile motor_car آٹو_موبائيل آٹو_موبائیل آٹوموبائل اٹو_موبائيل اٹو_موبائیل اٹوموبائل خود_حركيہ خود_حرکیہ خود_متحرك خود_متحرک خودمتحرك خودمتحركات خودمتحرکات
bn:00007339n	
bn:00007366n	خود_کار_سازی خودکارسازی خودکاری‎ automation آٹوميشن آٹومیشن اٹوميشن اٹومیشن خودكارسازي
bn:00007389n	خود_مختاری خود_مختاریت خود_مختاري خودمختاری
bn:00007406n	خزاں موسم_خزاں پتجھڑ
bn:00007434n	
bn:00007449n	اوسط average mean
bn:00007452n	
bn:00007485n	
bn:00007495n	
bn:00007496n	
bn:00007497n	انعام اِنْعام‎
bn:00007498n	آگاہی فہم شعور‎ percept perception آگاه آگاہي آگه آگہي آگہی اگاه اگاہي اگاہی اگه اگہي اگہی پرسيپشن پرسيپٹ پرسیپشن پرسیپٹ
bn:00007502n	تعظیم
bn:00007514n	
bn:00007517n	کلہاڑی
bn:00007528n	
bn:00007530n	
bn:00007594n	bacillus
bn:00007630n	نوزائیدہ بچہ
bn:00007645n	
bn:00007652n	
bn:00007675n	
bn:00007699n	
bn:00007727n	
bn:00007728n	
bn:00007729n	
bn:00007731n	ریڑھ_کی_ہڈی ریڑھ_کی_ہڈی‎ ريڑھ_كي_ہڈي
bn:00007732n	
bn:00007753n	
bn:00007763n	
bn:00007767n	
bn:00007770n	
bn:00007772n	
bn:00007782n	
bn:00007785n	
bn:00007786n	
bn:00007797n	
bn:00007817n	بخشیش‎
bn:00007824n	
bn:00007828n	
bn:00007837n	
bn:00007846n	
bn:00007875n	
bn:00007884n	
bn:00007896n	
bn:00007921n	
bn:00007922n	
bn:00007924n	
bn:00007925n	
