Abacus	अकगणक
Appliance	उपकरण
Applicability	लागू_होना
Application_of_order	आदेश_का_लागू_होना
Apportionment	प्रभाजन__निर्धारण__नियतन
Appraisal	आंकना__मूल्यनिरूपण__मूल्यांकन
Appreciation_in_price	मूल्य_में_वृद्धि
Apprehension	शंका
Apprentice	प्रशिक्षु__प्रशिक्षणार्थी
Approbation	अनुमोदन
Approbation_and_approval	समनुमोदन_और_अनुमोदन
Appropriation_Bill	विनियोग_विधेयक
Approval_and_permission	अनुमोदन_और_अनुज्ञा
Approved_as_proposed	यथाप्रस्तावित_अनुमोदित
Apropos	के_संदर्भ_में
Arbitration	माध्यस्थम
Arbitration_award	माध्यस्थम_पंचाट
Arbitrator's_award	मध्यस्थ_का_अधिनिर्णय
Archives	अभिलेखागार
Arduous	कठिन__दुष्कर_शंका
Arises,_if_a_question	यदि_यह_प्रश्न_उठता_है
Arising_in_the_course_of	के_दौरान_उत्पन्न_होने_वाला_प्रशिक्षु__प्रशिक्षणार्थी
Arithmetical_mistake	गणित_संबंधी_भूल
Article	अनुच्छेद
As_a_matter_of_fact	यथार्थतः__वस्तुतः__वास्तव_में__दरअसल
As_a_special_case	विशेष_मामले_के_रूप_में
As_already_pointed_out	जैसा_कि_पहले_बताया_जा_चुका_है
As_an_exception	अपवाद_स्वरूप
As_far_as_practicable	यथा_व्यवहार्य
As_hereinafter_provided	जैसा_नीचे_लिखा_है__इसके_आगे_दिए_अनुसार
As_in_force_for_the_time_being	जैसा_फिलहाल_प्रवृत्त/लागू_हो
As_may_be_prescribed	जो_विहित_किया_जाए
As_per_details_below	नीचे_दिए_ब्यौरे_के_अनुसार
As_per_extant_orders	वर्तमान_आदेशों_के_अनुसार
As_per_instructions	हिदायत_के_अनुसार__अनुदेशानुसार
As_proposed	यथाप्रस्तावित
As_you_are,_no_doubt,_aware	जैसाकि_आपको_निस्संदेह_विदित_है
Ascending_order,_in	आरोही_क्रम_में
Ask_for_leave_of_the_House	सभा_से_अनुमति_मांगना
Aspersion	लांछन__आरोप
Assayer	पारखी__मूल्यांकनकर्ता
Assemble	समवेत_होना__एकत्र_होना
Assent	सहमति__स्वीकृति__अनुमति
Assent_of_the_President	राष्ट्रपति_की_अनुमति
Assent_to_bill	विधेयक_पर_सहमति
Assessed	निर्धारित
Assessment	निर्धारण__मूल्यांकन__आकलन
Assessment_of_damage	क्षति_निर्धारण__नुकसान_का_आकलन
Assessment_of_revenue	राजस्व_निर्धारण
Assets	आस्तियां__परिसंपत्तियां
Assistant_Flight_Instructor's_Rating_(Aeroplanes)	सहायक_उड़ान_अनुदेशक_रेटिंग_(विमान)
Atmosphere	वायुमंडल
Aviation	विमानन
Aviation_fuel	विमान_ईंधन
Axial_engine	अक्षीय_इंजन
Axis	अक्ष
Axle	धुरा__धुरी
Backsight	पश्चवालोकन
Back_belt	पृष्ठाधारी_पट्टा
Back_flow_/	पश्च_गरारी_पश्च_गियर
Balance_point	संतुलन_बिन्दु
Ballistic	प्राक्षेपिक
Basic_value	आधार_मूल्य
Barograph	वायुदाब_लेखी
Barometer	वायुदाब_मापी
Barrier	रोध/रोधिका
Base_line	आधार_रेखा
Basic_Aircraft_Maintenance	मूल_विमान_अनुरक्षण
Basic_runwal_lenth	मूल_धावनपथ_लम्बाई
Beacon_/	बीकन_प्रकाशदीप
Bench_mark	निर्देश_चिन्ह__मानक
Beneficiaries	लाभार्थी
Benevolence	हितकारिता
Benevolent_fund	हितकारी_निधि
Best_endeavours	भरसक_प्रयत्न__पूरा_प्रयास
Best_price_obtainable	अधिकतम_प्राप्य_मूल्य
Betterment_tax	समुन्नति_कर
Biased_opinion	पक्षपातपूर्ण_मत
Biennial	द्विवार्षिक
Biennial_Elections	द्विवार्षिक_निर्वाचन
Bilateral_agreement	द्विपक्षीय_समझौता_विधेयक
Bill_as_introduced	विधेयक__पुरःस्थापित_रूप_में
Bill_is_postponed	विधेयक_स्थगित_किया_गया
Bill_passed	विधेयक_पारित_किया_गया
Bill_returned	विधेयक_लौटाया_गया
Bill_under_consideration	विचाराधीन_विधेयक
Bill_withdrawn	विधेयक_वापस_लिया_गया
Bindin	बाध्यकारी__अनिवार्य
Birth_Anniversary	जयंती
Blanket_deal	व्यापक_सौदा
Blanket_order	व्यापक_आदेश
Bold_letters,_in	स्पष्ट_अक्षरों_में
Bonafide	वास्तविक__सद्भावपूर्वक__सद्भाव_से
Bone_of_contention	झगड़े_की_जड़__विवाद_का_विषय
Booming_economy	समृद्ध_अर्थव्यवस्था
Borne_on_the_cadre	काडर_में__काडर_के
Bottle_necks	बाधएं__गतिरोध__रुकावटें
Brains_drain	प्रतिभा_पलायन
Breach_of_discipline	अनुशासन_भंग__अनुशासनहीनता
Breach_of_Privilege	विशेषाधिकार_हनन__विशेषाधिकार_भंग
Brake,_air	वायु_चालित_ब्रेक
Break_up	ब्यौरा
Brevity	संक्षिप्तता
Brief_note	संक्षिप्त_टिप्पण
Bring_to_naught	नष्ट_करना__शून्य_स्तर_तक_लाना
Brochure	विवरणिका
Budget	बजट
Budgetary_allocation	बजटीय_आबंटन
Bulk_inspection	सामूहिक_निरीक्षण
Bulk_of_expenditure	अधिकांश-व्यय
Bulletin	बुलेटिन/समाचार
Business	काम-काज__कार्य__व्यापार
Business_Advisory_Committee	कार्य_मंत्रणा_समिति
Business_before_the_House	सभा_के_समक्ष_कार्य
Business_of_the_House	सभा_का_कार्य
Buy-back	प्रति-क्रय__पुनः_खरीद
Bye-law	उपनियम
By_pass	उपमार्ग
Cabin	कक्ष__केबिन
Cabinet	मंत्रिमंडल__अलमारी__पेटिका
Cabinet_Committee	मंत्रिमंडलीय_समिति_कैबिनेट_कमेटी
Cabinet_Minister	मंत्रिमंडल_स्तर_के_मंत्री__कैबिनेट_मंत्री
Cabinet_Note	मंत्रिमंडल_टिप्पण__कैबिनेट_नोट
Calculated_to_deceive	धेखा_देने_की_नीयत_से
Call_upon_to_show_cause	कारण_बताने_को_कहा_जाए
Calling_Attention	ध्यानाकर्षण
Calling_Attention_Motion	ध्यानाकर्षण_प्रस्ताव
Calling_Attention_Notice	ध्यानाकर्षण_सूचना
Cancellation	अपवर्तन__निरसन__रद्द_करना__विलोपन
Cancellation_of_indent	इंडेंट_रद्द_करना
Capital_account	पूंजी_लेखा
Capitulation	आत्मसमर्पण_पत्र
Carrying_over	आगे_ले_जाना
Carte_blanche	पूर्ण_स्वतंत्रता
Cartelization	संघबद्ध_होना
Case_is_put_up_for_orders	मामला_आदेश_के_लिए_प्रस्तुत_है
Case_is_under_consideration	मामला_विचाराधीन_है
Case_study	वस्तुस्थिति_अध्यन
Cast_gear	ढला_गियर
Cash_balance	रोकड़_शेष/बाकी__नकदी_बाकी/शेष
Cash_book	रोकड़_बही
Cash_memo	कैश_मेमो
Cash_payment	नकद_भुगतान
Casual_vacancies	आकस्मिक_रूप_से_रिक्त_हुए_स्थान
Catalogue	ग्रंथ-सूची__सूचीपत्र
Catch_word	सूचक_शब्द__महत्वपूर्ण_शब्द
Category	श्रेणी
Cease	बन्द_करना__समाप्त_करना
Censure_Motion	निन्दा_प्रस्ताव
Centre_of_gravity	गुरुत्व_केन्द्र
Central_Hall	केन्द्रीय_कक्ष
Ceremonial_Lounge	समारोह_लाउन्ज
Certificate,_last_pay	अंतिम_वेतन_पत्र
Certiorary	उत्प्रेषण
Cess	उपकर
Chair	सभापीठ
Chairman	सभापति
Chairman_of_Committee	समिति_का_अध्यक्ष
Chairman,_Rajya_Sabha	सभापति__राज्य_सभा
Chambers	कक्ष
Chapter	अध्याय__पाठ
Charge,_assumption_of	कार्यभार_ग्रहण_करना
Charge,_relinquishment_of	कार्यभार_का_परित्याग
Check_List	जाँच्_सूची
Chief_Whip	मुख्य_सचेतक
Chronology	कालक्रम
Circulated	परिचालित
Circulation	परिचालन
Civil_aeronautics_act	नागर_वैमानिक_अधिनियम
Climatology	जलवायु-विज्ञान
Clock_Frequency	कालद_आवृति
Closure	समापन
Cloud_hide	मेधाच्द_ऊँचाई
Clubbing	साथ-साथ__संयुक्त_करना
Coalition	मिली_जुली__साझा__गठबंधन__सम्मिलन_
Cockpit	चालक_कक्ष/काकपिट
Cohesive_Energy	संसजक_ऊर्जा
Code_light	संकेतक_प्रकाश
Code_of_Conduct	आचार_संहिता
Code_of_criminal_procedure	दंड_प्रक्रिया_संहिता
Coercion	प्रपीड़न__बल_प्रयोग__जोर_जबरदस्ती
Collateral_security	संपर्शिवक_प्रतिभूति
Collective_responsibility	सामूहिक_जिम्मेदारी__दायित्व
Collision	टक्कर
Commercial_Aircraft	व्यापारिक_विमान
Commercial_Helicopter_Pilot's_Licence	वाणिज्य_हेलीकाप्टर_पायलट_लाइसेंस
Commercial_Pilot's_Licence_(Aeroplanes)	वाणिज्य_पायलट_लाइसेंस
Commemorative	स्मारक__स्मृति_स्वरूप
Commencement	प्रारम्भ
Commencement_Clause	प्रारंभिक_खंड
Commencement_of_the_Session	सत्र_का_प्रारम्भ
Commendable	प्रशंसनीय__सराहनीय
Commensurate	अनुरूप
Comments_of_the_committee	समिति_की_टिप्पणी
Committee_observes_/	समिति_समुक्ति_करती_है_कि_समिति_का_विचार_है_कि
Committee_of_Privileges	विशेषाधिकार_समिति
Committee_on_Ethics	आचार_समिति
Compass	कुतुबनुमा__दिवसूचक__कम्पास
Compressor_/	संपीडिक_संपडिक
Comprehensive_programme	व्यापक_कार्यक्रम
Comptroller_and_Auditor_General	नियंत्रक_और_महालेखापरीक्षक
Compute	संगणन_करना__गणना
Condenser	द्रवणित__संघनित्र
Concentration	एकाग्रता__संकेद्रण
Concerted_efforts	संयुक्त_प्रयास__ठोस_प्रयास
Conciliation_proceedings	सुलह_कार्यवाही
Conclusion_of_the_Address	अभिभाषण_की_समाप्ति
Concurrence	सहमति
Concurrent_evaluation_system	समवर्ती_मूल्यांकन_प्रणाली
Concurrent_List	समवर्ती_सूची
Conduct	आचरण__व्यवहार__संचालन
Consensus	सहमति
Constituent_Assembly	संविधान_सभा
Constitute	गठित_करना__गठन_करना
Constitution	संविधान__विधान__नियम__व्यवस्था
Constitutional_Law	संवैधानिक_विधि
Constitutional_or_Statutory_Provision	संवैधानिक_अथवा_सांविधिक_उपबंध
Constitutional_Provision	संवैधानिक_प्रावधान
Construe	अर्थ_लगाना__समझना
Consular_functions	कौंसलीय_कृत्य__कौंसल_संबंधी_कार्य
Consultative_Committee	परामर्शदात्री_समिति
Consumable_items	उपभोज्य_वस्तु
Consumer_affairs	उपभोक्ता_मामले
Contain	अंतर्विष्ट
Contemporaneous	समकालीन
Contention_is_untenable	कथन_असमर्थनीय_है
Contextual_requirement	प्रासंगिक_आवश्यकता
Contiguous	संसक्त__सटा_हुआ__निकटस्थ
Contingencies	आकस्मिक_व्यय
Contingencies	आकस्मिकताएं
Contingency_plan	आपात_योजना
Continued	क्रमागत
Control_Area	नियन्त्रण_क्षेत्र
Convection	संवहन
Co-Pilot	सह-पायलट
Cross_wind_force	अनुप्रस्थ_पवन_बल
Cruise	परिभ्रमण
Damage_Line	क्षति_रेखा
Damp_Atmosphere	आर्द्ध_वायूमण्डल
Danger_Area	खतरनाक_क्षेत्र
Dead_Conductor	निष्क्रिय_चालक
Dead_Engine	बन्द_इजन
Delegate	प्रत्यायोजित_करना__सौंपना
Delegation	शिष्टमंडल__प्रतिनिधि-मंडल__प्रत्यायोजन
Delete	काटना__हटाना__निकाल_देना__मिटाना
Deletion	उच्छेद__विलोप__विलोपन__अपमार्जन__हटा_दिया_जाना
Deliberation	विचार-विमर्श__पर्यालोचन_
Deliberative_Functions	विमर्शकारी_कार्यकलाप
Density	सघनता__घनत्व
Departure_Line	प्रस्थान_रेखा
Depose	अभिसाक्ष्य_देना
Deputation	प्रतिनियुक्ति__शिष्टमंडल
Deep_bed	हवा_पट्टी
Dereservation	आरक्षण_समाप्त_करना
Derogation	अल्पीकरण__अनादर
Designated	नामोद्दिश्ट__पदनामित__पदाभिहित
Desirability	वांछनीयता
Detector	संसूचक
Detrimental	हानिकर
Devaluation	अवमूल्यन
Device	विधि__उपाय
Devolution	अन्तरण__हस्तांतरण
Diameter	व्यास
Diffusion	विसरक
Dies_non	अकार्य_दिवस
Diglot_edition	द्विभाषिक_संस्करण
Dignitary	गण्यमान्य_व्यक्ति__प्रतिष्ठित_व्यक्ति
Dignity	गरिमा
Dignity_and_Decorum	गरिमा_और_शालीनता
Dilatory	विलम्बकारी
Dilatory_Motion	विलम्बकारी_प्रस्ताव_तत्परता_
Diligent	परिश्रमी__उद्यमी__अध्यवसायी
Diplomatic	राजनयिक__कूटनीतिज्ञ
Discharge	विसर्जन
Disfigure	विरूपित_करना__विकृत_करना
Disinvestment	विनिवेश
Dismay	व्यथित_होना__मोहभंग_होना
Dismiss	पदच्युत_करना
Disorderly_conduct	अनुचित_आचरण
Dispassionate_opinion	निष्पक्ष_राय
Displeasure	अप्रसन्नता__नाखुशी__नाराजगी
Disposal	निपटारा
Disposal_of_amendment	संशोधन_का_निपटाया_जाना
Disqualification	निरर्हता__अयोग्यता
Distance_Measuring_Equipment	दूरी_मापक_उपकरण
Distance_velocity_lag	दूरी_वेग-पश्चता
Divergences	अपसरण
Documentation	प्रलेखन
Domestic_Flight	घरेलू_उड़ान
Domicile	अधिवास__निवास
Downgrade	महत्व_में_कमी_करना
Draft	पाण्डुलेखन__प्रारूप_बनाना__मसौदा
Draft_reply	उत्तर_का_मसौदा
Draft_report	प्रारूप_प्रतिवेदन
Drafting	प्रारूपण
Drafting_and_noting	प्रारूपण/आलेखन_और_टिप्पण
Dried_weight	शुस्क_भार
Drift_Indicator	विचलन_सूचक__अफवाह_सूचक
Dropping_of_the_Assurance	आश्वासन_छोड़ना
Dry_promotion	निर्लाभ_पदोन्नति
Ducted_fan	वाहिनी_पंखा
Due_course,_in	यथासमय
Duly	विधिवत्_रूप_से
Dummy	अक्रिय
Duration	अवधि
Duties_and_Functions	दायित्व_और_कार्यकलाप
Duty,_sense_of	कर्तव्य_बोध_होना/रखना
Dynamic_Analysis	गतिक_विश्लेषण
Dynamics_/	गतिविज्ञान_गतिकी
Earmark	उद्दिष्ट_करना__अलग_से_चिन्हित_करना__निर्दिष्ट_करना
Earth_Connection	भू-संयोजन
Ecological_System	परिस्थितिक_तंत्र
Eclectcism	सार-संग्रह
Eductor	अपसारक
Efficiency,_air_standard	वायु-मानक-दक्षता
Effectually	प्रभावकारी_रीति_से
Efficacious	प्रभावोत्पादक
Ejector,_Air	वाय_निष्कासक
Ejector_condenser	निष्कासक_द्रवणित
Elaborate	विस्तार_से_बताना
Elapsed	व्यपगत
Elastic_velocity	प्रत्यास्थ_वेग
Elected	निर्वाचित
Electric_Motor	विद्युत_मोटर
Electromagnatic_brake	विद्युत_चुम्बकीय_ब्रेक
Element	अल्पान्श__घटक
Emergency_Escape	संकट_निर्गम
Emergency_landing_ground	आपातकालीन_अवतरण_स्थल
Endorsement	पृष्ठांकन
Engine,_Aeronautic	विमान_इंजन
Engine,_bi-fuel	द्विव-ईंधन_इंजन
Engine_Overheating	इंजन_अधितापन
Engine_Pressure_Indicator	इंजन_दाब_सूचक
Engine_speed	इंजन_चाल
Enquiries_made_reveal_that	जांच_से_यह_मालूम_हुआ_है_कि
Enquiry	पूछताछ__जांच__जांच-पड़ताल
Ensuing_financial_year	आगामी_वित्तीय_वर्ष
Entitle	अधिकार_देना__हकदार_बनाना
Entitlement	हकदारी__अधिकारिता__पात्रता
Entrance_front	मुखद्वार
Entry_permit	प्रवेश_अनुज्ञा-पत्र
Envisage	का_सामना_करना__का_ध्यान_करना__संकल्पना_करना
Envisaged	परिकल्पित
Epitome	सार__निष्कर्ष
Equal_/_Equality	समान/समता__समानता
Equivalent_hight	तुल्य_ऊचाई
Errata	शुद्धि-पत्र
Error_and_omission	भूल-चूक
Error_detection	त्रुटि_संसूचक
Error_signal	त्रुटि_संकेत
Ethics_Committee	आचार_समिति
Etiquette	शिष्टाचार
Evasive_reply	टालमटोल_वाला_उत्तर__अस्पष्ट_उत्तर
Evidence	साक्ष्य
Evidence_tendered	प्रमाण_दिया_गया_साक्ष्य
Examination_of_question	प्रश्न_की_जांच
Ex-cadre_post	संवर्गबाह्य_पद
Exceptional_grants	अपवादानुदान
Excess_Air	अतिरिक्त_वायु
Excess_Grant	अतिरेक_अनुदान
Excess_profit_tax	अतिलाभ_कर
Exclude	अपवर्जित_करना__अलग_करना
Exclusion_clause	अपवर्जन_खंड
Exclusive_right	अनन्य_अधिकार__एकमात्र_अधिकार
Executive	कार्यपालक
Executive_Committee	कार्यकारिणी_समिति
Exemplary_action	अनुकरणीय_कार्य
Exempted	छूट_देना__अवमुक्त
Exemption	विमोचन__उन्मोचन__छूट__माफी__अवमुक्ति__विमुक्ति
Exercise_of_discretion	स्वाविवेक_का_प्रयोग
Exhaust_Fan	निष्कासन_पंखा
Exit	निर्गम
Existing	विद्यमान__वर्तमान__प्रस्तुत__मौजूदा__प्रचलित
Exonerate	आरोप-मुक्त_करना
Expand	विस्तार
Ex-parte	एक-पक्षीय
Expatriates	देशत्यागी
Expedient	समीचीन
Expenditure_charged	भारित_व्यय
Explaining_the_history_of_the_case	मामले_की_पूर्ण_जानकारी_देते_हुए
Explaining_the_reasons	कारण_स्पष्ट_करते_हुए
Explanation_may_be_called_for	स्पष्टीकरण_मांगा_जाए
Explanatory_memorandum	व्याख्यात्मक_ज्ञापन
Explanatory_Note	व्याख्यात्मक_टिप्पण
Explicit	स्पष्ट
Exploitation	दोहन__शोषण
Exponent	प्रतिपादक__प्रतिनिधि
Ex-post_facto	कार्योत्तर
Expulsion	निष्कासन__बहिष्करण__निकाल_देना
Fabricate	गढना
Facilitate	आगे_बढ़ाना__सरल_बनाना
Facility	सुविधा__सुगमता
Facilitation_of_International_Air_Transport	अंतर्राष्ट्रीय_विमान_परिवहन_का_सरलीकरण
Fad	झक__सनक
Failure	भंग
Fan_door	पंखा_दवार
Fault,_disconnection	वियोजन_दोष
Fault_detection	दोष_संसूचक
Faulty_communication	सदोष_संचार
Federal	केंद्रीय_शासन_से_संबंधित
Feed_back_signal	पुनः_निवेशन_संकेत
Feeding_station_/	प्रभरण_स्टेशन_प्रभरण_केन्द्र
Feeler_gauge	संवेदक_प्रमापी
Fictitious_support	कल्पित_आधार
Fighting_aircraft	लड़ाकू_विमान
Filling_system	भरण_प्रणाली
Fin_carrier	पंख_वाहक
Final_approach	अंतिम_पहुंच__उपगमन
Final_control_element	अंतिम_नियंत्रण_तत्व
Fin,_cooling	शीतलन_पंख
Find_for	के_पक्ष_में_निर्णय_देना
Finding	खोज__निर्णय__जॉच_परिणाम
Findings	विष्कर्ष_परिणाम
Finance_Bill	वित्त_विधेयक
Financial_Aspects_of_the_Bill	विधेयक_के_वित्तीय_पहलू
Financial_Functions	वित्तीय_कार्य
Financial_implications	वित्तीय_निहितार्थ
Financial_Memorandum	वित्तीय_ज्ञापन
Fire_alarm	अग्नि_भय_संकेतक/अग्नि_भय_संकेत
Fire_control_lever	अग्निशमन_लीवर
Fire_control_system	आग_नियंत्रण_तंत्र
Fire_fighting_equipment	आग_बुझाने_का_सामान/अग्निशमन_उपस्कर
Fire_resistant	अग्नि_प्रतिरोधी
Flash_light	क्षण_दीप/टार्च
Flat_seat	चिपटी_पीठिका
Fleet	बेड़ा
Flick	झटका
Flight_altitude_/	उड़ान_ऊँचाई_उड्डयन_उच्चता
Flight,_ferry	पहली_उड़ान
Flight,_free	मुक्त_उड़ान
Flight_information_system	उड़ान_सूचना_केन्द्र
Flight_Instructor's_Rating_(Aeroplanes)	उड़ान_अनुदेशक_रेटिंग_(विमान)
Flight_Manual	उड़ान_मेनुअल
Flight_Path	उडान_पथ
Flight_personnel	उड़ान_कार्मिक
Flight_Plan	उडान_योजना
Flight_Radio_Telephone_Operator's_Licence	उड़ान_रेडियो_प्रचालक_लाइसेंस
Flying_club	उड्डयन_क्लब
Foreign_Operators	विदेशी_प्रचालक
Free_parachute_/	मुक्त_पैराशूट_हवाई_छतरी
Free_zones	मुक्त_क्षेत्र
Freight	भाड़ा
Fuel_flow_indicator	ईंधन_प्रवाह_सूचक
Fuel_gauge	ईंधन_प्रमापी
Fuel_uplift	ईंधन_भरना
Gadget	यंत्रिका__मशीन
Gage	गेज/प्रमापी
Gang_tool	समूह_औजार
Gap_structure	अन्तराल_संरचना
Gate_signal	प्रवेश_संकेतक
Gate,_tumble	अवपाती_द्वार
Gear	गियर/गरारी__यंत्रावली__उपस्कर
Gear_control	नियंत्रक_यंत्रावली__गियर_उपस्कर
General_aviation	सामान्य_विमानन
Generator_/	जनित्र_जेनरेटर
Glance_through,_may	सरसरी_तौर_पर_देख_लें
Glaring_disparity	घोर_असमानता/स्पष्ट_विसंगति
Glider_Pilot's_Licence	ग्लाइडर_पायलट_लाइसेंस
Golden_Jubilee_Year	स्वर्ण_जयंती_वर्ष
Gong_alarm	चेतावनी_घंटा
Good_and_sufficient_reason	समुचित_और_प_पर्याप्त_कारण
Good_Offices	अपने_सप्रभाव_का_उपयोग
Goodwill_Delegation	सद्भावना__प्रतिनिधिमंडल
Governing_body	शासी_निकाय
Government_assurance	सरकारी_आश्वासन
Government_Bills	सरकारी_विधेयक
Government_Business	सरकारी_कार्य
Government_Legislative_and_other	सरकारी_विधान_कार्य_तथा_अन्य_कार्य
Government_Motion	सरकारी_प्रस्ताव
Government_Resolution	सरकारी_संकल्प
Government/Statutory_Resolution	सरकारी/परिनियत_संकल्प
Govt._of_India_Press	भारत_सरकार_मुद्रणालय
Gradient_wind	अनुप्रवण_वायु
Grant-in-aid	सहायतानुदान
Grants	अनुदान
Grass_root_level	सबसे_निचला_स्तर
Gratification	परितोषण
