sentence_id	text	translation	lemma	translation_token	translation_lemma
d000.s010	The European Union gave the talks a boost as well on Friday by pledging to provide $ 3.6 billion a year over the next three years to help poorer countries adapt to the impact of climate change -- from coping with flood and drought to avoiding deforestation .	यूरोपीय संघ ने कहा कि शुक्रवार के दिन शुक्रवार को ३.६ अरब से भी ज़्यादा लोगों को $६ अरब देने के लिए भाषण दिए और अगले तीन साल के दौरान गरीब देशों को जलवायु परिवर्तन के प्रभाव के अनुकूल बनने में मदद करने के लिए - बाढ़ और सूखे का सामना करने से.	the european_union give the talk a boost as well on friday by pledge to provide $ 3.6 billion a year over the next three year to help poorer country adapt to the impact of climate_change -- from cope with flood and drought to avoid deforestation .	यूरोपीय संघ ने कहा कि शुक्रवार के दिन शुक्रवार को ३.६ अरब से भी ज़्यादा लोगों को $६ अरब देने के लिए भाषण दिए और अगले तीन साल के दौरान गरीब देशों को जलवायु परिवर्तन के प्रभाव के अनुकूल बनने में मदद करने के लिए - बाढ़ और सूखे का सामना करने से.	यूरोपीय संघ ने कहा कि शुक्रवार के दिन शुक्रवार को ३.६ अरब से भी ज़्यादा लोगों को $६ अरब देने के लिए भाषण दिए और अगले तीन साल के दौरान गरीब देशों को जलवायु परिवर्तन के प्रभाव के अनुकूल बनने में मदद करने के लिए - बाढ़ और सूखे का सामना करने से.
d000.s011	Still , Friday featured the same sort of verbal fireworks that have dominated the talks for the past week .	फिर भी, शुक्रवार ने उन मौखिक आतिशबाज़ियों को विशिष्ट किया जिन्होंने पिछले सप्ताह के भाषणों पर प्रभाव डाला है ।	still , friday feature the same sort of verbal firework that have dominate the talk for the past week .	फिर भी, शुक्रवार ने उन मौखिक आतिशबाज़ियों को विशिष्ट किया जिन्होंने पिछले सप्ताह के भाषणों पर प्रभाव डाला है ।	फिर भी, शुक्रवार ने उन मौखिक आतिशबाज़ियों को विशिष्ट किया जिन्होंने पिछले सप्ताह के भाषणों पर प्रभाव डाला है ।
d000.s012	U.S. special climate envoy Todd Stern rejected language requiring binding cuts of greenhouse-gas emissions for industrialized countries compared with voluntary ones by major emerging economies if they were not funded by the developed world .	U.S. विशेष जलवायु दूत Pudude Udude UdudEECONEEECANE ने कहा कि औद्योगिक देशों के लिए कटौती की तुलना में अमीरों की तुलना में बड़े पैमाने पर बढ़ रही है यदि विकसित दुनिया द्वारा पैसा नहीं दिया गया था.	u.s. special climate envoy todd stern reject language require binding cut of greenhouse-gas emission for industrialized country compare with voluntary one by major emerge economy if they be not fund by the developed world .	U.S. विशेष जलवायु दूत Pudude Udude UdudEECONEEECANE ने कहा कि औद्योगिक देशों के लिए कटौती की तुलना में अमीरों की तुलना में बड़े पैमाने पर बढ़ रही है यदि विकसित दुनिया द्वारा पैसा नहीं दिया गया था.	U.S. विशेष जलवायु दूत Pudude Udude UdudEECONEEECANE ने कहा कि औद्योगिक देशों के लिए कटौती की तुलना में अमीरों की तुलना में बड़े पैमाने पर बढ़ रही है यदि विकसित दुनिया द्वारा पैसा नहीं दिया गया था.
d000.s013	The move signaled that the Obama administration is taking a harder line with China than Bush administration officials did just two years ago .	यह संकेत दिया गया कि ओबामा प्रशासन प्रशासन ने दो साल पहले चीन के अधिकारियों से ज़्यादा कठिन रेखा पकड़ी है ।	the move signal that the obama administration be take a hard_line with china than bush_administration official do just two year ago .	यह संकेत दिया गया कि ओबामा प्रशासन प्रशासन ने दो साल पहले चीन के अधिकारियों से ज़्यादा कठिन रेखा पकड़ी है ।	यह संकेत दिया गया कि ओबामा प्रशासन प्रशासन ने दो साल पहले चीन के अधिकारियों से ज़्यादा कठिन रेखा पकड़ी है ।
d000.s014	The United States is not going to do a deal without the major developing countries stepping up and taking action , said Stern , who also complained that the text did not do enough to make sure the cuts could be verified by outside observers .	अमरीका, बड़े - बड़े विकासशील देशों में कदम रखने और कदम उठाने के बिना सौदा करने के लिए नहीं जा रहा है, जिसने आग्रह किया कि पाठ को पूरा करने के लिए पर्याप्त नहीं किया गया ताकि बाहर के देखनेवालों द्वारा जाँच की जा सके ।	the united_states be not go to do a deal without the major developing_country step up and take action , say stern , who also complain that the text do not do enough to make sure the cut could be verify by outside observer .	अमरीका, बड़े - बड़े विकासशील देशों में कदम रखने और कदम उठाने के बिना सौदा करने के लिए नहीं जा रहा है, जिसने आग्रह किया कि पाठ को पूरा करने के लिए पर्याप्त नहीं किया गया ताकि बाहर के देखनेवालों द्वारा जाँच की जा सके ।	अमरीका, बड़े - बड़े विकासशील देशों में कदम रखने और कदम उठाने के बिना सौदा करने के लिए नहीं जा रहा है, जिसने आग्रह किया कि पाठ को पूरा करने के लिए पर्याप्त नहीं किया गया ताकि बाहर के देखनेवालों द्वारा जाँच की जा सके ।
d000.s015	Stern made his comments an hour after Chinese vice foreign minister He Yafei said America 's top climate negotiator was either lacking `` common sense '' or being `` extremely irresponsible '' for saying earlier in the week that the United States would not help China financially to cope with global warming .	उन्होंने कहा कि अमेरिका के शीर्ष जलवायु में 'टी' या तो सामान्य अर्थ 'यूटी' या गंभीर रूप से गैर ज़िम्मेदार नहीं होना चाहिए सप्ताह में पहले कहने के लिए कि अमेरिका विश्वव्यापी तापमान का सामना करने के लिए चीन मदद नहीं करेगा.	stern make he comment a hour after chinese vice foreign_minister he yafeus say america 's top climate negotiator be either lack `` common_sense '' or be `` extremely irresponsible '' for say earlier in the week that the united_states would not help china financially to cope with global_warming .	उन्होंने कहा कि अमेरिका के शीर्ष जलवायु में 'टी' या तो सामान्य अर्थ 'यूटी' या गंभीर रूप से गैर ज़िम्मेदार नहीं होना चाहिए सप्ताह में पहले कहने के लिए कि अमेरिका विश्वव्यापी तापमान का सामना करने के लिए चीन मदद नहीं करेगा.	उन्होंने कहा कि अमेरिका के शीर्ष जलवायु में 'टी' या तो सामान्य अर्थ 'यूटी' या गंभीर रूप से गैर ज़िम्मेदार नहीं होना चाहिए सप्ताह में पहले कहने के लिए कि अमेरिका विश्वव्यापी तापमान का सामना करने के लिए चीन मदद नहीं करेगा.
d000.s016	With the future economic trajectory of the world 's major powers at stake , fault lines have erupted both within the developing world and between the industrial world and emerging economies .	विश्व की बड़ी शक्तियों की भविष्य आर्थिक शक्ति के साथ... विकासशील दुनिया में और औद्योगिक दुनिया के बीच में और उभरने वाली महिलाओं के बीच दोषियों में फूट पड़ गई है।	with the future economic trajectory of the world 's major_power at stake , fault_line have erupt both within the develop world and between the industrial world and emerge economy .	विश्व की बड़ी शक्तियों की भविष्य आर्थिक शक्ति के साथ... विकासशील दुनिया में और औद्योगिक दुनिया के बीच में और उभरने वाली महिलाओं के बीच दोषियों में फूट पड़ गई है।	विश्व की बड़ी शक्तियों की भविष्य आर्थिक शक्ति के साथ... विकासशील दुनिया में और औद्योगिक दुनिया के बीच में और उभरने वाली महिलाओं के बीच दोषियों में फूट पड़ गई है।
d000.s017	The current battle is as much about saving individual economies as saving the planet , with China and United States feuding over their respective obligations while poorer nations insist that the world 's two dozen most influential countries are ignoring the scientific imperative to take bolder action .	वर्तमान लड़ाई के बारे में लोगों को ग्रह को बचाने के लिए, चीन और अमरीका के साथ अपनी प्राथमिकताओं के बारे में बहस कर रहे हैं जबकि गरीब राष्ट्रों ने दावा किया है कि दुनिया के दो दर्जन अधिक प्रभावशाली देशों ने वैज्ञानिक कार्रवाई करने के लिए परेशान कर रहे हैं।	the current battle be as much about save individual economy as save the planet , with china and united_states feud over they respective obligation while poorer nation insist that the world 's two_dozen most influential country be ignore the scientific imperative to take bolder action .	वर्तमान लड़ाई के बारे में लोगों को ग्रह को बचाने के लिए, चीन और अमरीका के साथ अपनी प्राथमिकताओं के बारे में बहस कर रहे हैं जबकि गरीब राष्ट्रों ने दावा किया है कि दुनिया के दो दर्जन अधिक प्रभावशाली देशों ने वैज्ञानिक कार्रवाई करने के लिए परेशान कर रहे हैं।	वर्तमान लड़ाई के बारे में लोगों को ग्रह को बचाने के लिए, चीन और अमरीका के साथ अपनी प्राथमिकताओं के बारे में बहस कर रहे हैं जबकि गरीब राष्ट्रों ने दावा किया है कि दुनिया के दो दर्जन अधिक प्रभावशाली देशों ने वैज्ञानिक कार्रवाई करने के लिए परेशान कर रहे हैं।
d000.s018	Ricardo Ulate , a Costa Rican delegate , said it 's not surprising that the major powers are fighting over who should bear the costs for curbing greenhouse gases , even as vulnerable countries have become more aggressive in seeking to hold the big emitters accountable for their actions .	COCONAC UNAC के एक प्रतिनिधि, ने कहा कि यह आश्‍चर्य की बात नहीं है कि बड़ी शक्‍तियाँ उन पर लड़ रही हैं जो ग्रीनहाउस गैसों को रोकने का खर्च उठाना चाहिए, जैसे कि असुरक्षित देशों ने अपने कार्यों के लिए बड़े पैमाने पर भारी पैमाने पर हिसाब लेने की कोशिश की है ।	ricardo ulate , a costa rican delegate , say it ' not surprising that the major_power be fight over who should bear the cost for curb greenhouse_gas , even as vulnerable country have become more aggressive in seek to hold the big emitter accountable for they action .	COCONAC UNAC के एक प्रतिनिधि, ने कहा कि यह आश्‍चर्य की बात नहीं है कि बड़ी शक्‍तियाँ उन पर लड़ रही हैं जो ग्रीनहाउस गैसों को रोकने का खर्च उठाना चाहिए, जैसे कि असुरक्षित देशों ने अपने कार्यों के लिए बड़े पैमाने पर भारी पैमाने पर हिसाब लेने की कोशिश की है ।	COCONAC UNAC के एक प्रतिनिधि, ने कहा कि यह आश्‍चर्य की बात नहीं है कि बड़ी शक्‍तियाँ उन पर लड़ रही हैं जो ग्रीनहाउस गैसों को रोकने का खर्च उठाना चाहिए, जैसे कि असुरक्षित देशों ने अपने कार्यों के लिए बड़े पैमाने पर भारी पैमाने पर हिसाब लेने की कोशिश की है ।
d000.s019	This is clearly a game where a new economic hegemony is being developed , said Ulate , who also serves as the regional Mexico and Central America climate change adviser for Conservation International .	यह एक ऐसा खेल है जहाँ एक नयी आर्थिक वेश्‍या विकसित की जा रही है, ने कहा, जो मॆक्सिको और मध्य अमरीका की जलवायु परिवर्तन सलाहकार के रूप में भी काम करती है ।	this be clearly a game where a new economic hegemony be be develop , say ulate , who also serve as the regional mexico and central_america climate_change adviser for conservation international .	यह एक ऐसा खेल है जहाँ एक नयी आर्थिक वेश्‍या विकसित की जा रही है, ने कहा, जो मॆक्सिको और मध्य अमरीका की जलवायु परिवर्तन सलाहकार के रूप में भी काम करती है ।	यह एक ऐसा खेल है जहाँ एक नयी आर्थिक वेश्‍या विकसित की जा रही है, ने कहा, जो मॆक्सिको और मध्य अमरीका की जलवायु परिवर्तन सलाहकार के रूप में भी काम करती है ।
d000.s020	Some of the countries most vulnerable to the impact of climate change indicated they would continue to push for a legally binding treaty in Copenhagen , although most of the major participants say the talks will produce a political deal at best .	कुछ देशों में जलवायु परिवर्तन के प्रभाव के प्रति सबसे असुरक्षित देशों ने सूचित किया कि वे कोपेनहेगन में कानूनी संधि के लिए लगातार धक्का देते रहेंगे, जबकि अधिकतर प्रमुख सहभागी कहते हैं कि भाषण उत्तम से बेहतर राजनीतिक सौदा उत्पन्‍न करेंगे ।	some of the country most vulnerable to the impact of climate_change indicate they would continue to push for a legally bind treaty in copenhagen , although most of the major participant say the talk will produce a political deal at best .	कुछ देशों में जलवायु परिवर्तन के प्रभाव के प्रति सबसे असुरक्षित देशों ने सूचित किया कि वे कोपेनहेगन में कानूनी संधि के लिए लगातार धक्का देते रहेंगे, जबकि अधिकतर प्रमुख सहभागी कहते हैं कि भाषण उत्तम से बेहतर राजनीतिक सौदा उत्पन्‍न करेंगे ।	कुछ देशों में जलवायु परिवर्तन के प्रभाव के प्रति सबसे असुरक्षित देशों ने सूचित किया कि वे कोपेनहेगन में कानूनी संधि के लिए लगातार धक्का देते रहेंगे, जबकि अधिकतर प्रमुख सहभागी कहते हैं कि भाषण उत्तम से बेहतर राजनीतिक सौदा उत्पन्‍न करेंगे ।
d000.s021	The Alliance of Small Island States , which has 43 members , produced a 24-page draft treaty proposal early Friday morning .	छोटे द्वीप अमरीका की शुरूआत में 43 सदस्य थे ।	the alliance of small island state , which have 43 member , produce a 24-page draft treaty proposal early friday morning .	छोटे द्वीप अमरीका की शुरूआत में 43 सदस्य थे ।	छोटे द्वीप अमरीका की शुरूआत में 43 सदस्य थे ।
d000.s022	Artur Runge-Metzger , who heads international climate negotiations on behalf of the European Commission , said the push by small island nations has `` put political pressure on the entire political process , '' in part because they are now unified and demanding action from emerging economies such as China and India .	कला रन-मज्जर, जो यूरोपीय अधिकारियों के पक्ष पर अंतर्राष्ट्रीय जलवायु की चर्चा पर प्रमुख थे, ने कहा कि छोटे द्वीप राष्ट्रों ने राजनीतिक दबाव डाल दिया है पूरी राजनीतिक प्रक्रिया , क्योंकि वे अब एकीकृत हैं और चीन और भारत जैसे प्रवासियों को बढ़ावा देने के लिए कार्यवाही की मांग कर रहे हैं।	artur runge-metzger , who head international climate negotiation on behalf of the european commission , say the push by small island nation have `` put political pressure on the entire political process , '' in part because they be now unify and demand action from emerge economy such as china and india .	कला रन-मज्जर, जो यूरोपीय अधिकारियों के पक्ष पर अंतर्राष्ट्रीय जलवायु की चर्चा पर प्रमुख थे, ने कहा कि छोटे द्वीप राष्ट्रों ने राजनीतिक दबाव डाल दिया है पूरी राजनीतिक प्रक्रिया , क्योंकि वे अब एकीकृत हैं और चीन और भारत जैसे प्रवासियों को बढ़ावा देने के लिए कार्यवाही की मांग कर रहे हैं।	कला रन-मज्जर, जो यूरोपीय अधिकारियों के पक्ष पर अंतर्राष्ट्रीय जलवायु की चर्चा पर प्रमुख थे, ने कहा कि छोटे द्वीप राष्ट्रों ने राजनीतिक दबाव डाल दिया है पूरी राजनीतिक प्रक्रिया , क्योंकि वे अब एकीकृत हैं और चीन और भारत जैसे प्रवासियों को बढ़ावा देने के लिए कार्यवाही की मांग कर रहे हैं।
d000.s023	The talks took on new urgency as delegates focused on the fact that they must resolve most of the outstanding issues before the heads of government arrive to strike a deal .	भाषण के दौरान भाई - बहनों ने इस बात पर ध्यान दिया कि सरकार के मुखिया के आने से पहले उन्हें सबसे खास मसलों को सुलझाने की ज़रूरत है ।	the talk take on new urgency as delegate focus on the fact that they must resolve most of the outstanding issue before the head of government arrive to strike a deal .	भाषण के दौरान भाई - बहनों ने इस बात पर ध्यान दिया कि सरकार के मुखिया के आने से पहले उन्हें सबसे खास मसलों को सुलझाने की ज़रूरत है ।	भाषण के दौरान भाई - बहनों ने इस बात पर ध्यान दिया कि सरकार के मुखिया के आने से पहले उन्हें सबसे खास मसलों को सुलझाने की ज़रूरत है ।
d000.s024	High-level officials such as Indian environment minister Jairam Ramesh and the Chinese vice minister stepped off planes and raced through the Bella Center 's halls to closed-door meetings and news conferences so they could stake out claims that will be arbitrated over the next week .	उच्च स्तर अधिकारी जैसे कि भारतीय पर्यावरण मंत्री याईर रामी और चीनी दुर्गुण मंत्री विमान बंद बंद कर दिया... ... और बेला सेंटर के माध्यम से बाहर बंद घर की सभाएँ और समाचार सम्मेलन बंद करने के लिए चला गया... तो वे दावा कर सकते हैं कि अगले सप्ताह पर एक अनुग्रहित हो जाएगा।	high-level official such as indian environment minister jairam ramesh and the chinese vice minister step off plane and race through the bellum center 's hall to closed-door meeting and news_conference so they could stake out claim that will be arbitrate over the next week .	उच्च स्तर अधिकारी जैसे कि भारतीय पर्यावरण मंत्री याईर रामी और चीनी दुर्गुण मंत्री विमान बंद बंद कर दिया... ... और बेला सेंटर के माध्यम से बाहर बंद घर की सभाएँ और समाचार सम्मेलन बंद करने के लिए चला गया... तो वे दावा कर सकते हैं कि अगले सप्ताह पर एक अनुग्रहित हो जाएगा।	उच्च स्तर अधिकारी जैसे कि भारतीय पर्यावरण मंत्री याईर रामी और चीनी दुर्गुण मंत्री विमान बंद बंद कर दिया... ... और बेला सेंटर के माध्यम से बाहर बंद घर की सभाएँ और समाचार सम्मेलन बंद करने के लिए चला गया... तो वे दावा कर सकते हैं कि अगले सप्ताह पर एक अनुग्रहित हो जाएगा।
d000.s025	The sheer sprawl of the gathering -- where 13,000 people move in and out of the convention center each day , guitar-playing activists put on nightly shows mocking the countries they think are selling out , and draft proposals are passed hand-to-hand on paper rather than via e-mail -- poses a challenge .	सम्मेलन केंद्र में हर दिन 13,000 लोग जाते हैं और सम्मेलन केंद्र से बाहर चले जाते हैं, गिटार-प्लेजियों को लगता है कि वे बाहर बेच रहे हैं, और सूट प्रस्तावों को ई-मेल के बजाय कागज पर एक चुनौती पेश कर रहे हैं.	the sheer sprawl of the gathering -- where 13,000 people move in and out of the convention center each day , guitar-playing activist put on nightly show mock the country they think be sell out , and draft proposal be pass hand-to-hand on paper rather than via e-mail -- pose a challenge .	सम्मेलन केंद्र में हर दिन 13,000 लोग जाते हैं और सम्मेलन केंद्र से बाहर चले जाते हैं, गिटार-प्लेजियों को लगता है कि वे बाहर बेच रहे हैं, और सूट प्रस्तावों को ई-मेल के बजाय कागज पर एक चुनौती पेश कर रहे हैं.	सम्मेलन केंद्र में हर दिन 13,000 लोग जाते हैं और सम्मेलन केंद्र से बाहर चले जाते हैं, गिटार-प्लेजियों को लगता है कि वे बाहर बेच रहे हैं, और सूट प्रस्तावों को ई-मेल के बजाय कागज पर एक चुनौती पेश कर रहे हैं.
d000.s026	The intensity is only building : nearly all of the key ministers are now here , and as early as Wednesday 60 heads of government will be in Copenhagen .	यह तीव्रता केवल इमारत है: सभी प्रमुख सेवक अब यहाँ हैं, और जैसे - जैसे बुधवार ६० मुख्य राष्ट्रपति कोपेनहेगन में होंगे, वैसे ही कोपेनहेगन में होंगे ।	the intensity be only build : nearly all of the key minister be now here , and as early as wednesday 60 head of government will be in copenhagen .	यह तीव्रता केवल इमारत है: सभी प्रमुख सेवक अब यहाँ हैं, और जैसे - जैसे बुधवार ६० मुख्य राष्ट्रपति कोपेनहेगन में होंगे, वैसे ही कोपेनहेगन में होंगे ।	यह तीव्रता केवल इमारत है: सभी प्रमुख सेवक अब यहाँ हैं, और जैसे - जैसे बुधवार ६० मुख्य राष्ट्रपति कोपेनहेगन में होंगे, वैसे ही कोपेनहेगन में होंगे ।
